,PRN,Epoch_Time_of_Clock,SV_Clock_Bias,SV_Clock_Drift,SV_Clock_Drift_Rate,IODE,Crs,Del_n,M0,Cuc,e,Cus,sqrt_A,Toe,Cic,OMEGA,Cis,i0,Crc,omega,OMEGA_dot,I_dot,Codes,GPS_week,L2_P_Data_flag,SV_accuracy,SV_health,Tgd,IODC,T_Tx,Fit_Interval
0,05,17 11 19 02 00 00.0,-.223093666136D-04,.113686837722D-11,.000000000000D+00,.154000000000D+03,-.331250000000D+01,.522807491316D-08,.404381015064D-01,-.689178705215D-07,.528593023773D-02,.447779893875D-05,.515358182716D+04,.720000000000D+04,.521540641785D-07,.165963941489D+01,.800937414169D-07,.946749260273D+00,.284187500000D+03,.627579997592D+00,-.844820904467D-08,.714315468392D-11,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.107102096081D-07,.154000000000D+03,.600000000000D+01,.000000000000D+00
1,28,17 11 19 02 00 00.0,.663744751364D-03,.318323145621D-11,.000000000000D+00,.680000000000D+02,-.325625000000D+02,.442447001122D-08,.203825432593D+00,-.166706740856D-05,.200065410463D-01,.185519456863D-05,.515365928078D+04,.720000000000D+04,-.277534127235D-06,-.137932491554D+01,-.689178705215D-07,.987124675739D+00,.361687500000D+03,-.155149587302D+01,-.863928843247D-08,-.211794536378D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.100000000000D+01,.000000000000D+00,-.111758708954D-07,.680000000000D+02,.600000000000D+01,.000000000000D+00
2,12,17 11 19 02 00 00.0,.364208128303D-03,-.170530256582D-11,.000000000000D+00,.420000000000D+02,-.218125000000D+02,.422589031101D-08,.214022124042D+01,-.133365392685D-05,.659757188987D-02,.116974115372D-05,.515368619537D+04,.720000000000D+04,-.987201929092D-07,-.140262475766D+01,-.856816768646D-07,.987833778465D+00,.370343750000D+03,.909629146208D+00,-.813212444991D-08,-.117504894551D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.125728547573D-07,.420000000000D+02,.600000000000D+01,.000000000000D+00
3,02,17 11 19 02 00 00.0,.277293846011D-03,-.977706804406D-11,.000000000000D+00,.320000000000D+02,.390625000000D+01,.451625954891D-08,-.247397413740D+01,.257045030594D-06,.173008161364D-01,.101067125797D-04,.515362477303D+04,.720000000000D+04,.225380063057D-06,.578834036978D+00,-.651925802231D-07,.948271834688D+00,.175750000000D+03,-.193823138380D+01,-.761853162814D-08,.657884546389D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.204890966415D-07,.320000000000D+02,.600000000000D+01,.000000000000D+00
4,06,17 11 19 02 00 00.0,.410364940763D-03,.159161572810D-11,.000000000000D+00,.730000000000D+02,.903125000000D+01,.422196157593D-08,-.260311725095D+01,.488013029099D-06,.647780252621D-03,.100247561932D-04,.515378617287D+04,.720000000000D+04,.726431608200D-07,.627599583139D+00,-.186264514923D-07,.968979561522D+00,.193000000000D+03,-.128800799347D+01,-.773032199894D-08,.542879755978D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,.465661287308D-08,.730000000000D+02,.600000000000D+01,.000000000000D+00
5,13,17 11 19 02 00 00.0,-.940831378102D-04,-.341060513165D-12,.000000000000D+00,.350000000000D+02,.162812500000D+02,.411302846700D-08,-.221870837532D+01,.847503542900D-06,.360881723464D-02,.114813446999D-04,.515366319084D+04,.720000000000D+04,.447034835815D-07,.284274758890D+01,-.372529029846D-08,.969384214904D+00,.160593750000D+03,.167688139078D+01,-.764889003554D-08,-.424303388225D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.116415321827D-07,.350000000000D+02,.600000000000D+01,.000000000000D+00
6,20,17 11 19 02 00 00.0,.493166036904D-03,.113686837722D-11,.000000000000D+00,.350000000000D+02,.900000000000D+01,.563702051882D-08,-.175030642829D+01,.722706317902D-06,.465853267815D-02,.416114926338D-05,.515374714661D+04,.720000000000D+04,-.931322574615D-08,.157568523956D+01,.856816768646D-07,.927029563439D+00,.278656250000D+03,.171833526946D+01,-.860000108171D-08,.125005206969D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.838190317154D-08,.350000000000D+02,.600000000000D+01,.000000000000D+00
7,19,17 11 19 02 00 00.0,-.474831555039D-03,.216004991671D-11,.000000000000D+00,.770000000000D+02,-.126750000000D+03,.383980280034D-08,.226508497041D+01,-.678375363350D-05,.982585700694D-02,.101365149021D-04,.515369217491D+04,.720000000000D+04,.428408384323D-07,-.320039255674D+00,-.180676579475D-06,.979143805155D+00,.193312500000D+03,.109406739008D+01,-.758817322073D-08,-.244295890190D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.153668224812D-07,.770000000000D+02,.600000000000D+01,.000000000000D+00
8,24,17 11 19 02 00 00.0,-.423840247095D-04,-.454747350886D-12,.000000000000D+00,.380000000000D+02,.123281250000D+03,.477591322167D-08,-.260117010698D+01,.623986124992D-05,.630751857534D-02,.834651291370D-05,.515367371178D+04,.720000000000D+04,-.186264514923D-07,-.254790051108D+01,-.154599547386D-06,.943812747738D+00,.210687500000D+03,.476312284479D+00,-.813569602725D-08,.316084594764D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,.279396772385D-08,.380000000000D+02,.600000000000D+01,.000000000000D+00
9,17,17 11 19 02 00 00.0,-.143633224070D-03,.261479726760D-11,.000000000000D+00,.380000000000D+02,-.114125000000D+03,.395802201036D-08,-.717917810536D+00,-.588782131672D-05,.121538689127D-01,.986456871033D-05,.515371912575D+04,.720000000000D+04,-.931322574615D-07,-.367429657377D+00,.143423676491D-06,.981745106104D+00,.203156250000D+03,-.183152046298D+01,-.794961684774D-08,-.231081054025D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.111758708954D-07,.380000000000D+02,.600000000000D+01,.000000000000D+00
