,PRN,Epoch_Time_of_Clock,SV_Clock_Bias,SV_Clock_Drift,SV_Clock_Drift_Rate,IODE,Crs,Del_n,M0,Cuc,e,Cus,sqrt_A,Toe,Cic,OMEGA,Cis,i0,Crc,omega,OMEGA_dot,I_dot,Codes,GPS_week,L2_P_Data_flag,SV_accuracy,SV_health,Tgd,IODC,T_Tx,Fit_Interval
0,20,17 11 26 02 00 00.0,.493827275932D-03,.113686837722D-11,.000000000000D+00,.250000000000D+02,-.273125000000D+02,.510235539073D-08,-.151124660060D+01,-.120699405670D-05,.464799627662D-02,.899098813534D-05,.515376163101D+04,.720000000000D+04,-.316649675369D-07,.145016945333D+01,.800937414169D-07,.927189824652D+00,.187937500000D+03,.172638278474D+01,-.830391732006D-08,.189650756858D-09,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.838190317154D-08,.250000000000D+02,.600000000000D+01,.000000000000D+00
1,02,17 11 26 02 00 00.0,.271393451840D-03,-.977706804406D-11,.000000000000D+00,.220000000000D+02,-.707500000000D+02,.470233872843D-08,-.222326320587D+01,-.358745455742D-05,.173421374056D-01,.531226396561D-05,.515362917519D+04,.720000000000D+04,.249594449997D-06,.453561788578D+00,-.130385160446D-06,.948404847589D+00,.268656250000D+03,-.193599655846D+01,-.793783064251D-08,.710743891050D-10,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.204890966415D-07,.220000000000D+02,.600000000000D+01,.000000000000D+00
2,17,17 11 26 02 00 00.0,-.142117496580D-03,.250111042988D-11,.000000000000D+00,.270000000000D+02,.101250000000D+02,.430339353933D-08,-.473677788455D+00,.599771738052D-06,.121850873111D-01,.515766441822D-05,.515371743011D+04,.720000000000D+04,-.117346644402D-06,-.492651457048D+00,.875443220139D-07,.981673379231D+00,.294281250000D+03,-.182779741254D+01,-.831820362943D-08,.971469037013D-10,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.111758708954D-07,.270000000000D+02,.600000000000D+01,.000000000000D+00
3,05,17 11 26 02 00 00.0,-.216057524085D-04,.113686837722D-11,.000000000000D+00,.790000000000D+02,-.326562500000D+02,.472769692755D-08,.294557999352D+00,-.157579779625D-05,.527549057733D-02,.914372503757D-05,.515359650993D+04,.720000000000D+04,.242143869400D-07,.153425330612D+01,.111758708954D-06,.946886154295D+00,.195343750000D+03,.628732600025D+00,-.811140930133D-08,.162149611325D-09,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.107102096081D-07,.790000000000D+02,.600000000000D+01,.000000000000D+00
4,12,17 11 26 02 00 00.0,.363185536116D-03,-.170530256582D-11,.000000000000D+00,.111000000000D+03,.406562500000D+02,.379765818771D-08,.239119022045D+01,.197626650333D-05,.660874228925D-02,.782310962677D-05,.515368910980D+04,.720000000000D+04,-.502914190292D-07,-.152788470292D+01,-.128522515297D-06,.987883505976D+00,.240968750000D+03,.908261553334D+00,-.765960476757D-08,-.492877673191D-10,.100000000000D+01,.197700000000D+04,.000000000000D+00,.100000000000D+01,.000000000000D+00,-.125728547573D-07,.111000000000D+03,.600000000000D+01,.000000000000D+00
5,13,17 11 26 02 00 00.0,-.942880287766D-04,-.341060513165D-12,.000000000000D+00,.240000000000D+02,.282500000000D+02,.450197323954D-08,-.196388637335D+01,.153668224812D-05,.363736809231D-02,.716373324394D-05,.515365576363D+04,.720000000000D+04,.186264514923D-07,.271757589417D+01,.484287738800D-07,.969173993576D+00,.244906250000D+03,.167339720561D+01,-.794675958586D-08,.108933108930D-09,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.116415321827D-07,.240000000000D+02,.600000000000D+01,.000000000000D+00
6,06,17 11 26 02 00 00.0,.411254819483D-03,.136424205266D-11,.000000000000D+00,.260000000000D+02,-.696250000000D+02,.438089676765D-08,-.234742210486D+01,-.363774597645D-05,.664390507154D-03,.610575079918D-05,.515379113960D+04,.720000000000D+04,.126659870148D-06,.502472716611D+00,-.558793544769D-08,.969121953191D+00,.268968750000D+03,-.129938379513D+01,-.804783522464D-08,-.992898501065D-10,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,.465661287308D-08,.260000000000D+02,.600000000000D+01,.000000000000D+00
7,19,17 11 26 02 00 00.0,-.473524443805D-03,.216004991671D-11,.000000000000D+00,.270000000000D+02,.718750000000D+00,.421517557898D-08,.251208548818D+01,-.191852450371D-06,.981171231251D-02,.465847551823D-05,.515368700027D+04,.720000000000D+04,-.372529029846D-08,-.445266212131D+00,-.135973095894D-06,.979075851148D+00,.297031250000D+03,.109661060148D+01,-.793104464556D-08,.928610108910D-11,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.153668224812D-07,.270000000000D+02,.600000000000D+01,.000000000000D+00
8,25,17 11 26 02 00 00.0,-.495651271194D-03,-.625277607469D-11,.000000000000D+00,.960000000000D+02,.400625000000D+02,.410802825872D-08,.195687152170D+01,.203214585781D-05,.672291219234D-02,.754743814468D-05,.515372792625D+04,.720000000000D+04,-.182539224625D-06,-.158542789068D+01,-.651925802231D-07,.975663660559D+00,.241531250000D+03,.806089678174D+00,-.788854287519D-08,-.410731394325D-10,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,.558793544769D-08,.960000000000D+02,.600000000000D+01,.000000000000D+00
9,24,17 11 26 02 00 00.0,-.426764599979D-04,-.454747350886D-12,.000000000000D+00,.780000000000D+02,.117500000000D+02,.505449625434D-08,-.235377392546D+01,.445172190666D-06,.635405618232D-02,.721774995327D-05,.515366585922D+04,.720000000000D+04,.279396772385D-07,-.267322022386D+01,-.152736902237D-06,.943734199277D+00,.232156250000D+03,.479741652651D+00,-.826462996930D-08,-.149649090628D-09,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,.279396772385D-08,.780000000000D+02,.600000000000D+01,.000000000000D+00
