,PRN,Epoch_Time_of_Clock,SV_Clock_Bias,SV_Clock_Drift,SV_Clock_Drift_Rate,IODE,Crs,Del_n,M0,Cuc,e,Cus,sqrt_A,Toe,Cic,OMEGA,Cis,i0,Crc,omega,OMEGA_dot,I_dot,Codes,GPS_week,L2_P_Data_flag,SV_accuracy,SV_health,Tgd,IODC,T_Tx,Fit_Interval
0,19,17 11 12 02 00 00.0,-.476117711514D-03,.216004991671D-11,.000000000000D+00,.390000000000D+02,.285937500000D+02,.420874673977D-08,.201804062946D+01,.114738941193D-05,.983652647119D-02,.599585473537D-05,.515368500900D+04,.720000000000D+04,-.372529029846D-08,-.194953001215D+00,-.244006514549D-06,.979025870552D+00,.276062500000D+03,.109171858733D+01,-.801354808216D-08,.172864343351D-09,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.153668224812D-07,.390000000000D+02,.600000000000D+01,.000000000000D+00
1,13,17 11 12 01 59 44.0,-.938549637794D-04,-.454747350886D-12,.000000000000D+00,.370000000000D+02,.503125000000D+02,.452304554586D-08,-.247900861783D+01,.255927443504D-05,.359532248694D-02,.788830220699D-05,.515365482140D+04,.718400000000D+04,.707805156708D-07,.296787803519D+01,-.372529029846D-08,.969377448907D+00,.229656250000D+03,.168403021940D+01,-.795926010656D-08,.301798285396D-09,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.116415321827D-07,.370000000000D+02,.600000000000D+01,.000000000000D+00
2,17,17 11 12 01 59 44.0,-.145164318383D-03,.250111042988D-11,.000000000000D+00,.400000000000D+02,.367500000000D+02,.424160525131D-08,-.966740945761D+00,.204145908356D-05,.121239060536D-01,.619143247604D-05,.515371138191D+04,.718400000000D+04,-.242143869400D-07,-.242360292308D+00,.216066837311D-06,.981647971270D+00,.274843750000D+03,-.183294014305D+01,-.821248494010D-08,.191436545529D-09,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.111758708954D-07,.400000000000D+02,.600000000000D+01,.000000000000D+00
3,06,17 11 12 02 00 00.0,.409376341850D-03,.170530256582D-11,.000000000000D+00,.400000000000D+02,-.600625000000D+02,.451018786743D-08,-.289215533562D+01,-.304356217384D-05,.623817672022D-03,.532157719135D-05,.515378061104D+04,.720000000000D+04,-.372529029846D-08,.752924069418D+00,-.149011611938D-07,.968770845537D+00,.283437500000D+03,-.124411567905D+01,-.818534095231D-08,-.100361323309D-09,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,.465661287308D-08,.400000000000D+02,.600000000000D+01,.000000000000D+00
4,05,17 11 12 02 00 00.0,-.230232253671D-04,.125055521494D-11,.000000000000D+00,.930000000000D+02,-.530000000000D+02,.469519557374D-08,-.210197093290D+00,-.263005495071D-05,.528770743404D-02,.108517706394D-04,.515359143829D+04,.720000000000D+04,.558793544769D-07,.178508716665D+01,.596046447754D-07,.946932546353D+00,.160875000000D+03,.622843955379D+00,-.818426947910D-08,.225009372544D-10,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.107102096081D-07,.930000000000D+02,.600000000000D+01,.000000000000D+00
5,02,17 11 12 01 59 44.0,.283154658973D-03,-.966338120634D-11,.000000000000D+00,.350000000000D+02,-.628437500000D+02,.487663170271D-08,-.272872074642D+01,-.311993062496D-05,.172599916114D-01,.460073351860D-05,.515361956787D+04,.718400000000D+04,.197440385818D-06,.704301415244D+00,-.540167093277D-07,.948051516300D+00,.281468750000D+03,-.193958011674D+01,-.816069706865D-08,.264296723305D-10,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.204890966415D-07,.350000000000D+02,.600000000000D+01,.000000000000D+00
6,28,17 11 12 02 00 00.0,.661796890199D-03,.318323145621D-11,.000000000000D+00,.770000000000D+02,.149062500000D+02,.400052378073D-08,-.447037029115D-01,.813975930214D-06,.199834174709D-01,.935234129429D-05,.515366399384D+04,.720000000000D+04,-.275671482086D-06,-.125409383073D+01,-.186264514923D-08,.987306260446D+00,.219312500000D+03,-.155376777017D+01,-.814069623553D-08,-.193579491934D-09,.100000000000D+01,.197500000000D+04,.000000000000D+00,.200000000000D+01,.000000000000D+00,-.111758708954D-07,.770000000000D+02,.600000000000D+01,.000000000000D+00
7,12,17 11 12 02 00 00.0,.365210697055D-03,-.170530256582D-11,.000000000000D+00,.153000000000D+03,.155000000000D+02,.379230082169D-08,.189009147943D+01,.661239027977D-06,.657701713499D-02,.103563070297D-04,.515369690132D+04,.720000000000D+04,-.173225998878D-06,-.127739328810D+01,-.949949026108D-07,.988013269736D+00,.192500000000D+03,.910303898154D+00,-.771246411223D-08,-.212508851847D-09,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.125728547573D-07,.153000000000D+03,.600000000000D+01,.000000000000D+00
8,24,17 11 12 02 00 00.0,-.421092845500D-04,-.454747350886D-12,.000000000000D+00,.450000000000D+02,.125625000000D+02,.524271838026D-08,-.285148101673D+01,.564381480217D-06,.624662684277D-02,.584684312344D-05,.515366409874D+04,.720000000000D+04,-.465661287308D-07,-.242234551573D+01,-.102445483208D-06,.943699868979D+00,.259437500000D+03,.475416014551D+00,-.839856411962D-08,-.157506560780D-09,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,.279396772385D-08,.450000000000D+02,.600000000000D+01,.000000000000D+00
9,20,17 11 12 01 59 44.0,.492495484650D-03,.113686837722D-11,.000000000000D+00,.370000000000D+02,-.628750000000D+02,.508664045042D-08,-.199130794327D+01,-.302493572235D-05,.464937463403D-02,.100359320641D-04,.515375901031D+04,.718400000000D+04,.465661287308D-07,.170129304772D+01,.707805156708D-07,.927188338327D+00,.162656250000D+03,.170979002849D+01,-.829034532616D-08,-.857178562071D-11,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.838190317154D-08,.370000000000D+02,.486000000000D+03,.000000000000D+00
