,PRN,Epoch_Time_of_Clock,SV_Clock_Bias,SV_Clock_Drift,SV_Clock_Drift_Rate,IODE,Crs,Del_n,M0,Cuc,e,Cus,sqrt_A,Toe,Cic,OMEGA,Cis,i0,Crc,omega,OMEGA_dot,I_dot,Codes,GPS_week,L2_P_Data_flag,SV_accuracy,SV_health,Tgd,IODC,T_Tx,Fit_Interval
0,17,17 11 21 02 00 00.0,-.143198296428D-03,.250111042988D-11,.000000000000D+00,.440000000000D+02,-.115656250000D+03,.413695803519D-08,-.647827465529D+00,-.594928860664D-05,.121649450157D-01,.643916428089D-05,.515371750641D+04,.180000000000D+06,-.838190317154D-07,-.368771987119D+00,.149011611938D-06,.981709949257D+00,.269343750000D+03,-.183080765468D+01,-.815391107170D-08,-.296798077117D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.111758708954D-07,.440000000000D+02,.172806000000D+06,.000000000000D+00
1,24,17 11 21 02 00 00.0,-.424636527896D-04,-.454747350886D-12,.000000000000D+00,.750000000000D+02,.952187500000D+02,.468090926437D-08,-.252990111521D+01,.479072332382D-05,.631901028100D-02,.987388193607D-05,.515367326927D+04,.180000000000D+06,-.111758708954D-07,-.254930324179D+01,-.113621354103D-06,.943833396827D+00,.181187500000D+03,.476651789729D+00,-.798461830569D-08,.839320675361D-10,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,.279396772385D-08,.750000000000D+02,.172806000000D+06,.000000000000D+00
2,12,17 11 21 01 59 44.0,.363917089999D-03,-.170530256582D-11,.000000000000D+00,.590000000000D+02,.356562500000D+02,.414767276722D-08,.220978012338D+01,.165775418282D-05,.660350045655D-02,.185519456863D-05,.515368597984D+04,.179984000000D+06,-.106170773506D-06,-.140404005190D+01,-.108033418655D-06,.987834802507D+00,.356093750000D+03,.909100157956D+00,-.803712049261D-08,.664313385605D-10,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.125728547573D-07,.590000000000D+02,.172806000000D+06,.000000000000D+00
3,06,17 11 21 02 00 00.0,.410627573729D-03,.147792889038D-11,.000000000000D+00,.750000000000D+02,-.424687500000D+02,.405516891406D-08,-.252982152662D+01,-.217184424400D-05,.653882510960D-03,.107996165752D-04,.515379204559D+04,.180000000000D+06,.633299350739D-07,.626265991407D+00,-.130385160446D-07,.969065300225D+00,.178156250000D+03,-.129145451143D+01,-.764424698500D-08,.363943731146D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,.465661287308D-08,.750000000000D+02,.172806000000D+06,.000000000000D+00
4,20,17 11 21 02 00 00.0,.493355095387D-03,.113686837722D-11,.000000000000D+00,.450000000000D+02,.219687500000D+02,.548522848178D-08,-.168269731670D+01,.140257179737D-05,.465441821143D-02,.553950667381D-05,.515375052452D+04,.180000000000D+06,-.204890966415D-07,.157419916787D+01,.670552253723D-07,.927057617819D+00,.252718750000D+03,.172144740823D+01,-.846678124685D-08,.365015204348D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.838190317154D-08,.450000000000D+02,.172806000000D+06,.000000000000D+00
5,05,17 11 21 02 00 00.0,-.221082009375D-04,.113686837722D-11,.000000000000D+00,.102000000000D+03,.115000000000D+02,.511307012275D-08,.112910583316D+00,.711530447006D-06,.527968502138D-02,.550784170628D-05,.515358478928D+04,.180000000000D+06,.428408384323D-07,.165819276446D+01,.726431608200D-07,.946763029258D+00,.264437500000D+03,.628164825426D+00,-.832534678411D-08,.269296931584D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.107102096081D-07,.102000000000D+03,.172806000000D+06,.000000000000D+00
6,19,17 11 21 02 00 00.0,-.474462751299D-03,.216004991671D-11,.000000000000D+00,.115000000000D+03,-.129062500000D+03,.399409494151D-08,.233515172147D+01,-.692717730999D-05,.982376525644D-02,.640563666821D-05,.515369110870D+04,.180000000000D+06,.577419996262D-07,-.321381036822D+00,-.150874257088D-06,.979113187743D+00,.265656250000D+03,.109523903386D+01,-.777853829306D-08,-.344300055765D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.153668224812D-07,.115000000000D+03,.172806000000D+06,.000000000000D+00
7,02,17 11 21 02 00 00.0,.275611411780D-03,-.977706804406D-11,.000000000000D+00,.410000000000D+02,-.466875000000D+02,.437768234804D-08,-.240217060853D+01,-.234507024288D-05,.173127426533D-01,.105164945126D-04,.515362902641D+04,.180000000000D+06,.208616256714D-06,.577461350223D+00,-.745058059692D-07,.948353973150D+00,.167781250000D+03,-.193772760017D+01,-.753638534927D-08,.467519474063D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.204890966415D-07,.410000000000D+02,.172806000000D+06,.000000000000D+00
8,13,17 11 21 02 00 00.0,-.941432081163D-04,-.341060513165D-12,.000000000000D+00,.650000000000D+02,-.331250000000D+01,.431839416416D-08,-.214506177155D+01,-.145286321640D-06,.361758435611D-02,.923685729504D-05,.515365755272D+04,.180000000000D+06,.502914190292D-07,.284141209098D+01,.111758708954D-07,.969297076188D+00,.204468750000D+03,.167494342078D+01,-.774746557018D-08,-.479662837025D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.116415321827D-07,.650000000000D+02,.172806000000D+06,.000000000000D+00
9,28,17 11 21 02 00 00.0,.664288178086D-03,.318323145621D-11,.000000000000D+00,.940000000000D+02,.265000000000D+02,.436196740774D-08,.274429547115D+00,.141374766827D-05,.200084340759D-01,.201538205147D-05,.515366086006D+04,.180000000000D+06,-.257045030594D-06,-.138074169611D+01,-.108033418655D-06,.987122573526D+00,.358656250000D+03,-.155038738928D+01,-.859250076929D-08,-.125005206969D-10,.100000000000D+01,.197600000000D+04,.000000000000D+00,.200000000000D+01,.000000000000D+00,-.111758708954D-07,.940000000000D+02,.172866000000D+06,.000000000000D+00
10,25,17 11 21 02 00 00.0,-.492949504405D-03,-.625277607469D-11,.000000000000D+00,.530000000000D+02,.449687500000D+02,.446768609706D-08,.177811588070D+01,.225380063057D-05,.671089068055D-02,.168010592461D-05,.515372485542D+04,.180000000000D+06,-.217929482460D-06,-.146153107493D+01,.298023223877D-07,.975616003077D+00,.353906250000D+03,.807879074218D+00,-.827855912093D-08,.110361739867D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,.558793544769D-08,.530000000000D+02,.173766000000D+06,.000000000000D+00
11,15,17 11 21 02 00 00.0,-.357233453542D-03,-.113686837722D-12,.000000000000D+00,.920000000000D+02,-.200000000000D+02,.534843706959D-08,-.147107396313D+01,-.114180147648D-05,.995537918061D-02,.718981027603D-05,.515364403534D+04,.180000000000D+06,.167638063431D-06,.264660076900D+01,-.128522515297D-06,.928812913243D+00,.217593750000D+03,.635837718107D+00,-.828427364468D-08,-.367158150754D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.107102096081D-07,.920000000000D+02,.177396000000D+06,.000000000000D+00
12,29,17 11 21 01 59 44.0,.535587314516D-03,-.500222085975D-11,.000000000000D+00,.540000000000D+02,-.114156250000D+03,.392230623694D-08,.577982298277D+00,-.602565705776D-05,.430313986726D-03,.635161995888D-05,.515377788925D+04,.179984000000D+06,-.223517417908D-07,-.358431343361D+00,-.558793544769D-08,.982909545008D+00,.268406250000D+03,.997930980951D+00,-.781282543554D-08,-.270368404786D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.102445483208D-07,.540000000000D+02,.177756000000D+06,.000000000000D+00
13,20,17 11 21 04 00 00.0,.493363011628D-03,.113686837722D-11,.000000000000D+00,.460000000000D+02,.150937500000D+02,.549094300553D-08,-.632791842206D+00,.907108187675D-06,.465402577538D-02,.591203570366D-05,.515374831200D+04,.187200000000D+06,-.726431608200D-07,.157413798571D+01,.391155481339D-07,.927060145742D+00,.248093750000D+03,.172168365195D+01,-.849678249652D-08,.365015204348D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.838190317154D-08,.460000000000D+02,.180006000000D+06,.000000000000D+00
14,24,17 11 21 04 00 00.0,-.424669124186D-04,-.454747350886D-12,.000000000000D+00,.760000000000D+02,.976562500000D+02,.466590863954D-08,-.147975665550D+01,.491552054882D-05,.631895044353D-02,.969693064690D-05,.515367290306D+04,.187200000000D+06,.372529029846D-07,-.254936075641D+01,-.126659870148D-06,.943834022956D+00,.182281250000D+03,.476689503757D+00,-.799890461506D-08,.767889128522D-10,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,.279396772385D-08,.760000000000D+02,.180006000000D+06,.000000000000D+00
15,15,17 11 21 04 00 00.0,-.357234384865D-03,-.113686837722D-12,.000000000000D+00,.930000000000D+02,-.168750000000D+02,.540772525346D-08,-.420905647610D+00,-.739470124245D-06,.995528534986D-02,.747479498386D-05,.515364334869D+04,.187200000000D+06,.931322574615D-07,.264654080545D+01,.104308128357D-06,.928809023344D+00,.216937500000D+03,.635874683121D+00,-.850999733269D-08,-.443947063606D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.107102096081D-07,.930000000000D+02,.180006000000D+06,.000000000000D+00
16,29,17 11 21 03 59 44.0,.535551458597D-03,-.500222085975D-11,.000000000000D+00,.560000000000D+02,-.115781250000D+03,.393802117725D-08,.162799874827D+01,-.610575079918D-05,.429976615123D-03,.611133873463D-05,.515377766991D+04,.187184000000D+06,.223517417908D-07,-.358487478454D+00,-.372529029846D-08,.982907403296D+00,.272968750000D+03,.998027870015D+00,-.783711216146D-08,-.303584074067D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.102445483208D-07,.560000000000D+02,.180006000000D+06,.000000000000D+00
17,12,17 11 21 04 00 00.0,.363904517144D-03,-.170530256582D-11,.000000000000D+00,.600000000000D+02,.393750000000D+02,.418874590665D-08,-.302095032586D+01,.197999179363D-05,.660289637744D-02,.163540244102D-05,.515368725395D+04,.187200000000D+06,-.186264514923D-08,-.140409839454D+01,-.188127160072D-06,.987835226754D+00,.359531250000D+03,.909149486091D+00,-.808569394447D-08,.117862052285D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.125728547573D-07,.600000000000D+02,.180006000000D+06,.000000000000D+00
18,13,17 11 21 04 00 00.0,-.941455364227D-04,-.341060513165D-12,.000000000000D+00,.710000000000D+02,-.656250000000D+00,.430803658987D-08,-.109467887082D+01,-.931322574615D-08,.361769378651D-02,.913068652153D-05,.515365886688D+04,.187200000000D+06,-.242143869400D-07,.284135601148D+01,.745058059692D-08,.969293275527D+00,.209156250000D+03,.167474960315D+01,-.782354016757D-08,-.477877048354D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.116415321827D-07,.710000000000D+02,.180006000000D+06,.000000000000D+00
19,25,17 11 21 04 00 00.0,-.492994673550D-03,-.625277607469D-11,.000000000000D+00,.540000000000D+02,.498750000000D+02,.439946896983D-08,.282836338690D+01,.247173011303D-05,.671106739901D-02,.190548598766D-05,.515372371101D+04,.187200000000D+06,-.819563865662D-07,-.146159018121D+01,-.968575477600D-07,.975617593269D+00,.349906250000D+03,.807781371771D+00,-.813355308085D-08,.140720147273D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,.558793544769D-08,.540000000000D+02,.180006000000D+06,.000000000000D+00
20,05,17 11 21 04 00 00.0,-.220998190343D-04,.113686837722D-11,.000000000000D+00,.157000000000D+03,.118437500000D+02,.512985653626D-08,.116315032727D+01,.776723027229D-06,.527971540578D-02,.567361712456D-05,.515358483124D+04,.187200000000D+06,-.596046447754D-07,.165813350897D+01,.111758708954D-07,.946764717465D+00,.264437500000D+03,.628164281221D+00,-.828498796015D-08,.176435920693D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.107102096081D-07,.157000000000D+03,.180006000000D+06,.000000000000D+00
21,02,17 11 21 04 00 00.0,.275541096926D-03,-.977706804406D-11,.000000000000D+00,.420000000000D+02,-.377500000000D+02,.461483508355D-08,-.135203064436D+01,-.179745256901D-05,.173131171614D-01,.107083469629D-04,.515362670135D+04,.187200000000D+06,.303611159325D-06,.577407585058D+00,.417232513428D-06,.948355260517D+00,.166156250000D+03,-.193765987730D+01,-.792283001767D-08,.259653672761D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.204890966415D-07,.420000000000D+02,.180006000000D+06,.000000000000D+00
22,19,17 11 21 04 00 00.0,-.474447384477D-03,.216004991671D-11,.000000000000D+00,.116000000000D+03,-.125156250000D+03,.406231206875D-08,-.289783581287D+01,-.643171370029D-05,.982302718330D-02,.668130815029D-05,.515369228363D+04,.187200000000D+06,.186264514923D-06,-.321437344538D+00,-.109896063805D-06,.979110743207D+00,.257968750000D+03,.109520848520D+01,-.780568228086D-08,-.282511767749D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.153668224812D-07,.116000000000D+03,.180006000000D+06,.000000000000D+00
23,18,17 11 21 04 00 00.0,.632887240499D-03,.341060513165D-12,.000000000000D+00,.570000000000D+02,.138437500000D+02,.548844290139D-08,.192009610478D+01,.452622771263D-06,.181805805769D-01,.546127557755D-05,.515363135147D+04,.187200000000D+06,.121071934700D-06,.162525495764D+01,-.463798642159D-06,.925653868925D+00,.252812500000D+03,-.177144346453D+01,-.831998941810D-08,.317156067966D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.111758708954D-07,.570000000000D+02,.180426000000D+06,.000000000000D+00
24,20,17 11 21 06 00 00.0,.493370927870D-03,.113686837722D-11,.000000000000D+00,.470000000000D+02,.150000000000D+02,.557416075760D-08,.417336251844D+00,.832602381706D-06,.465361110400D-02,.600330531597D-05,.515374750900D+04,.194400000000D+06,-.223517417908D-07,.157407750868D+01,-.124797224998D-06,.927062287454D+00,.251031250000D+03,.172169793588D+01,-.851249743683D-08,.227152318949D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.838190317154D-08,.470000000000D+02,.187206000000D+06,.000000000000D+00
25,18,17 11 21 06 00 00.0,.632890034467D-03,.341060513165D-12,.000000000000D+00,.780000000000D+02,.143125000000D+02,.541843998549D-08,.297030914610D+01,.746920704842D-06,.181805382017D-01,.540912151337D-05,.515363141251D+04,.194400000000D+06,.201165676117D-06,.162519696171D+01,-.143423676491D-06,.925656585564D+00,.252500000000D+03,-.177144362545D+01,-.809390857235D-08,.236795577772D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.111758708954D-07,.780000000000D+02,.187206000000D+06,.000000000000D+00
26,15,17 11 21 06 00 00.0,-.357235316187D-03,-.113686837722D-12,.000000000000D+00,.138000000000D+03,-.104687500000D+02,.532272171272D-08,.629282420230D+00,-.394880771637D-06,.995619071182D-02,.755488872528D-05,.515364512062D+04,.194400000000D+06,-.763684511185D-07,.264648043813D+01,.173225998878D-06,.928805867830D+00,.216406250000D+03,.635891354536D+00,-.840856453618D-08,-.547522806523D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.107102096081D-07,.138000000000D+03,.187206000000D+06,.000000000000D+00
27,29,17 11 21 06 00 00.0,.535515137017D-03,-.500222085975D-11,.000000000000D+00,.600000000000D+02,-.119187500000D+03,.401088135502D-08,.268044002009D+01,-.624731183052D-05,.430244253948D-03,.602565705776D-05,.515377740097D+04,.194400000000D+06,-.372529029846D-07,-.358544260156D+00,-.130385160446D-07,.982904928038D+00,.271937500000D+03,.998033385217D+00,-.789925760721D-08,-.301083969927D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.102445483208D-07,.600000000000D+02,.187206000000D+06,.000000000000D+00
