,PRN,Epoch_Time_of_Clock,SV_Clock_Bias,SV_Clock_Drift,SV_Clock_Drift_Rate,IODE,Crs,Del_n,M0,Cuc,e,Cus,sqrt_A,Toe,Cic,OMEGA,Cis,i0,Crc,omega,OMEGA_dot,I_dot,Codes,GPS_week,L2_P_Data_flag,SV_accuracy,SV_health,Tgd,IODC,T_Tx,Fit_Interval
0,05,17 11 27 02 00 00.0,-.215061008930D-04,.113686837722D-11,.000000000000D+00,.810000000000D+02,-.460312500000D+02,.472805408529D-08,.330044854619D+00,-.227615237236D-05,.527741643600D-02,.916235148907D-05,.515359770966D+04,.936000000000D+05,.558793544769D-08,.153355449795D+01,.121071934700D-06,.946891215991D+00,.195031250000D+03,.629618980626D+00,-.814141055100D-08,.239295681911D-10,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.107102096081D-07,.810000000000D+02,.864060000000D+05,.000000000000D+00
1,13,17 11 27 02 00 00.0,-.943178310990D-04,-.341060513165D-12,.000000000000D+00,.660000000000D+02,.402187500000D+02,.442768443083D-08,-.192791717790D+01,.216625630856D-05,.363662175369D-02,.792182981968D-05,.515365823746D+04,.936000000000D+05,.111758708954D-07,.271688513790D+01,.428408384323D-07,.969182943708D+00,.230500000000D+03,.167335059119D+01,-.792997317236D-08,.199651173416D-09,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.116415321827D-07,.660000000000D+02,.864060000000D+05,.000000000000D+00
2,25,17 11 27 02 00 00.0,-.496190506965D-03,-.625277607469D-11,.000000000000D+00,.400000000000D+02,.143437500000D+02,.410981404739D-08,.199275446789D+01,.685453414917D-06,.672549963929D-02,.805966556072D-05,.515372707939D+04,.936000000000D+05,-.165775418282D-06,-.158610857037D+01,-.689178705215D-07,.975654262773D+00,.231843750000D+03,.805587170202D+00,-.787389940809D-08,-.141077305007D-09,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,.558793544769D-08,.400000000000D+02,.864060000000D+05,.000000000000D+00
3,24,17 11 27 02 00 00.0,-.427197664976D-04,-.454747350886D-12,.000000000000D+00,.390000000000D+02,.150625000000D+02,.515092884258D-08,-.231892970377D+01,.612810254097D-06,.635941699147D-02,.609084963799D-05,.515366494942D+04,.936000000000D+05,.558793544769D-07,-.267394282786D+01,-.158324837685D-06,.943713453636D+00,.253812500000D+03,.480809862266D+00,-.837892044424D-08,-.650027076237D-10,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,.279396772385D-08,.390000000000D+02,.864060000000D+05,.000000000000D+00
4,02,17 11 27 02 00 00.0,.270545016974D-03,-.977706804406D-11,.000000000000D+00,.330000000000D+02,-.492187500000D+02,.480877173322D-08,-.218767924064D+01,-.247359275818D-05,.173477173084D-01,.445730984211D-05,.515362840843D+04,.936000000000D+05,.262632966042D-06,.452838811537D+00,-.108033418655D-06,.948403472446D+00,.285187500000D+03,-.193541695763D+01,-.803676333488D-08,.115361948145D-09,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.204890966415D-07,.330000000000D+02,.864060000000D+05,.000000000000D+00
5,06,17 11 27 02 00 00.0,.411374960095D-03,.136424205266D-11,.000000000000D+00,.720000000000D+02,-.471875000000D+02,.449983029314D-08,-.231353740528D+01,-.248663127422D-05,.669713714160D-03,.521726906300D-05,.515378930473D+04,.936000000000D+05,.119209289551D-06,.501771630677D+00,.130385160446D-07,.969119300920D+00,.285906250000D+03,-.129833909607D+01,-.814105339327D-08,-.567880797372D-10,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,.465661287308D-08,.720000000000D+02,.864060000000D+05,.000000000000D+00
6,12,17 11 27 02 00 00.0,.363039784133D-03,-.170530256582D-11,.000000000000D+00,.760000000000D+02,.151562500000D+02,.378372903607D-08,.242711054274D+01,.648200511932D-06,.660910969600D-02,.832416117191D-05,.515368922615D+04,.936000000000D+05,-.465661287308D-07,-.152855341301D+01,-.113621354103D-06,.987876394731D+00,.231500000000D+03,.907971673190D+00,-.764853287781D-08,-.152863510236D-09,.100000000000D+01,.197700000000D+04,.000000000000D+00,.100000000000D+01,.000000000000D+00,-.125728547573D-07,.760000000000D+02,.864060000000D+05,.000000000000D+00
7,17,17 11 27 02 00 00.0,-.141905155033D-03,.250111042988D-11,.000000000000D+00,.360000000000D+02,.225937500000D+02,.424481967092D-08,-.438752630825D+00,.125728547573D-05,.121863407549D-01,.662915408611D-05,.515371839523D+04,.936000000000D+05,-.106170773506D-06,-.493343802047D+00,.726431608200D-07,.981689107063D+00,.266125000000D+03,-.182729687951D+01,-.824105755884D-08,.172864343351D-09,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.111758708954D-07,.360000000000D+02,.864060000000D+05,.000000000000D+00
8,20,17 11 27 02 00 00.0,.493921339512D-03,.113686837722D-11,.000000000000D+00,.350000000000D+02,-.407812500000D+02,.512021327744D-08,-.147693159245D+01,-.192038714886D-05,.465081667062D-02,.887550413609D-05,.515376219177D+04,.936000000000D+05,-.465661287308D-07,.144945067926D+01,.894069671631D-07,.927193263973D+00,.190312500000D+03,.172728814670D+01,-.834927635230D-08,.528593446610D-10,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.838190317154D-08,.350000000000D+02,.864360000000D+05,.000000000000D+00
9,19,17 11 27 02 00 00.0,-.473333057016D-03,.216004991671D-11,.000000000000D+00,.840000000000D+02,.150312500000D+02,.416910223127D-08,.254761270536D+01,.590458512306D-06,.981043733191D-02,.616908073425D-05,.515368713951D+04,.936000000000D+05,.372529029846D-08,-.445961743365D+00,-.152736902237D-06,.979091535092D+00,.267468750000D+03,.109675048132D+01,-.785354141724D-08,.932181686252D-10,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.153668224812D-07,.840000000000D+02,.865560000000D+05,.000000000000D+00
10,15,17 11 27 02 00 00.0,-.357289798558D-03,-.113686837722D-12,.000000000000D+00,.390000000000D+02,.355000000000D+02,.529307762079D-08,-.125808014937D+01,.186450779438D-05,.996507855598D-02,.783987343311D-05,.515365112686D+04,.936000000000D+05,.191852450371D-06,.252181068669D+01,-.484287738800D-07,.928734623719D+00,.205468750000D+03,.639365934192D+00,-.837570602463D-08,.243938732456D-09,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.107102096081D-07,.390000000000D+02,.895560000000D+05,.000000000000D+00
11,29,17 11 27 02 00 00.0,.533002894372D-03,-.500222085975D-11,.000000000000D+00,.370000000000D+02,.173750000000D+02,.402945355720D-08,.825367816591D+00,.834465026855D-06,.428985687904D-03,.623054802418D-05,.515377420616D+04,.936000000000D+05,-.149011611938D-07,-.482994127696D+00,.391155481339D-07,.982890130622D+00,.270312500000D+03,.963034875411D+00,-.793390190743D-08,.110718897601D-09,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.102445483208D-07,.370000000000D+02,.899760000000D+05,.000000000000D+00
