,PRN,Epoch_Time_of_Clock,SV_Clock_Bias,SV_Clock_Drift,SV_Clock_Drift_Rate,IODE,Crs,Del_n,M0,Cuc,e,Cus,sqrt_A,Toe,Cic,OMEGA,Cis,i0,Crc,omega,OMEGA_dot,I_dot,Codes,GPS_week,L2_P_Data_flag,SV_accuracy,SV_health,Tgd,IODC,T_Tx,Fit_Interval
0,13,17 11 22 02 00 00.0,-.941739417613D-04,-.341060513165D-12,.000000000000D+00,.157000000000D+03,-.537500000000D+01,.441732685654D-08,-.210839689272D+01,-.242143869400D-06,.362367299385D-02,.816769897938D-05,.515365527725D+04,.266400000000D+06,.502914190292D-07,.284073706986D+01,.242143869400D-07,.969253925957D+00,.225281250000D+03,.167417402242D+01,-.780925385820D-08,-.413231498465D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.116415321827D-07,.157000000000D+03,.259206000000D+06,.000000000000D+00
1,17,17 11 22 02 00 00.0,-.142980832607D-03,.250111042988D-11,.000000000000D+00,.500000000000D+01,-.975937500000D+02,.422124726046D-08,-.612918604806D+00,-.500865280628D-05,.121707461076D-01,.502727925777D-05,.515371686745D+04,.266400000000D+06,-.931322574615D-07,-.369455560461D+00,.150874257088D-06,.981691133205D+00,.296625000000D+03,-.183029785992D+01,-.824927218673D-08,-.264653881039D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.111758708954D-07,.500000000000D+01,.259206000000D+06,.000000000000D+00
2,20,17 11 22 02 00 00.0,.493449158967D-03,.113686837722D-11,.000000000000D+00,.500000000000D+01,.196562500000D+02,.538165273887D-08,-.164863904190D+01,.127963721752D-05,.465087138582D-02,.647082924843D-05,.515375304222D+04,.266400000000D+06,-.204890966415D-07,.157346598844D+01,.614672899246D-07,.927085457151D+00,.235156250000D+03,.172271968176D+01,-.839784980415D-08,.422160441820D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.838190317154D-08,.500000000000D+01,.259206000000D+06,.000000000000D+00
3,05,17 11 22 02 00 00.0,-.220076180995D-04,.113686837722D-11,.000000000000D+00,.820000000000D+02,.106250000000D+02,.502128058506D-08,.149531009915D+00,.670552253723D-06,.527666800190D-02,.636465847492D-05,.515358718491D+04,.266400000000D+06,.447034835815D-07,.165747781299D+01,.726431608200D-07,.946785638656D+00,.248093750000D+03,.628044747648D+00,-.825427239501D-08,.343942898031D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.107102096081D-07,.820000000000D+02,.259206000000D+06,.000000000000D+00
4,02,17 11 22 02 00 00.0,.274768564850D-03,-.977706804406D-11,.000000000000D+00,.300000000000D+01,-.678125000000D+02,.437482508617D-08,-.236629679973D+01,-.343471765518D-05,.173182308208D-01,.995583832264D-05,.515363016510D+04,.266400000000D+06,.203028321266D-06,.576776959110D+00,-.931322574615D-07,.948381432122D+00,.178687500000D+03,-.193747528630D+01,-.756067207520D-08,.344657213499D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.204890966415D-07,.300000000000D+01,.259206000000D+06,.000000000000D+00
5,06,17 11 22 02 00 00.0,.410757027566D-03,.147792889038D-11,.000000000000D+00,.470000000000D+02,-.651562500000D+02,.403873965829D-08,-.249338190499D+01,-.335089862347D-05,.655225827359D-03,.104270875454D-04,.515379378128D+04,.266400000000D+06,.689178705215D-07,.625601921688D+00,-.223517417908D-07,.969094969667D+00,.185500000000D+03,-.129299934561D+01,-.766781939546D-08,.233224000430D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,.465661287308D-08,.470000000000D+02,.259206000000D+06,.000000000000D+00
6,12,17 11 22 02 00 00.0,.363770872355D-03,-.170530256582D-11,.000000000000D+00,.118000000000D+03,.556250000000D+02,.407445543171D-08,.224793972705D+01,.271014869213D-05,.660597183742D-02,.290758907795D-05,.515368645477D+04,.266400000000D+06,-.102445483208D-06,-.140474105153D+01,-.122934579849D-06,.987845468643D+00,.335500000000D+03,.908943896362D+00,-.795461705602D-08,.113576159474D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.100000000000D+01,.000000000000D+00,-.125728547573D-07,.118000000000D+03,.259206000000D+06,.000000000000D+00
7,24,17 11 22 02 00 00.0,-.425069592893D-04,-.454747350886D-12,.000000000000D+00,.180000000000D+02,.740000000000D+02,.469805283562D-08,-.249432695007D+01,.368990004063D-05,.632527074777D-02,.100620090961D-04,.515367212296D+04,.266400000000D+06,-.149011611938D-07,-.254999735692D+01,-.104308128357D-06,.943827164796D+00,.177531250000D+03,.476883153149D+00,-.796711757671D-08,-.307155651409D-10,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,.279396772385D-08,.180000000000D+02,.259206000000D+06,.000000000000D+00
8,28,17 11 22 02 00 00.0,.664571300149D-03,.329691829393D-11,.000000000000D+00,.530000000000D+02,.499062500000D+02,.428553565262D-08,.309780848393D+00,.263564288616D-05,.200076487381D-01,.301375985146D-05,.515366255569D+04,.266400000000D+06,-.238418579102D-06,-.138144375342D+01,-.111758708954D-06,.987131939128D+00,.339500000000D+03,-.154989963044D+01,-.852035490698D-08,.467876631797D-10,.100000000000D+01,.197600000000D+04,.000000000000D+00,.200000000000D+01,.000000000000D+00,-.111758708954D-07,.530000000000D+02,.259356000000D+06,.000000000000D+00
9,25,17 11 22 02 00 00.0,-.493489205837D-03,-.625277607469D-11,.000000000000D+00,.810000000000D+02,.620625000000D+02,.438018245218D-08,.181380754304D+01,.315532088280D-05,.671442458406D-02,.272691249847D-05,.515372595406D+04,.266400000000D+06,-.227242708206D-06,-.146224269095D+01,.745058059692D-08,.975628572469D+00,.333687500000D+03,.807602307672D+00,-.819426989566D-08,.146791828755D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,.558793544769D-08,.810000000000D+02,.259926000000D+06,.000000000000D+00
