,PRN,Epoch_Time_of_Clock,SV_Clock_Bias,SV_Clock_Drift,SV_Clock_Drift_Rate,IODE,Crs,Del_n,M0,Cuc,e,Cus,sqrt_A,Toe,Cic,OMEGA,Cis,i0,Crc,omega,OMEGA_dot,I_dot,Codes,GPS_week,L2_P_Data_flag,SV_accuracy,SV_health,Tgd,IODC,T_Tx,Fit_Interval
0,02,17 11 06 02 00 00.0,.288142822683D-03,-.954969436862D-11,.000000000000D+00,.200000000000D+01,.141250000000D+02,.447340062081D-08,-.294117432356D+01,.739470124245D-06,.172126831021D-01,.115204602480D-04,.515361761856D+04,.936000000000D+05,.104308128357D-06,.828943966649D+00,-.949949026108D-07,.947963444242D+00,.145562500000D+03,-.194205603244D+01,-.764210403859D-08,.713243995190D-09,.100000000000D+01,.197400000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.204890966415D-07,.200000000000D+01,.864060000000D+05,.000000000000D+00
1,06,17 11 06 02 00 00.0,.408452469856D-03,.181898940355D-11,.000000000000D+00,.400000000000D+01,.186562500000D+02,.422517599554D-08,-.311500138623D+01,.104121863842D-05,.598913058639D-03,.108238309622D-04,.515377694511D+04,.936000000000D+05,-.689178705215D-07,.877438562827D+00,-.949949026108D-07,.968677490883D+00,.177468750000D+03,-.123111819612D+01,-.774139388870D-08,.601453624386D-09,.100000000000D+01,.197400000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,.465661287308D-08,.400000000000D+01,.864060000000D+05,.000000000000D+00
2,19,17 11 06 02 00 00.0,-.477219000459D-03,.216004991671D-11,.000000000000D+00,.480000000000D+02,-.128625000000D+03,.383551690753D-08,.180728060090D+01,-.697560608387D-05,.986130640376D-02,.109691172838D-04,.515369002533D+04,.936000000000D+05,-.100582838058D-06,-.703599959191D-01,-.180676579475D-06,.979048801792D+00,.183437500000D+03,.108845961400D+01,-.769996359153D-08,-.253939149013D-09,.100000000000D+01,.197400000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.153668224812D-07,.480000000000D+02,.864060000000D+05,.000000000000D+00
3,17,17 11 06 02 00 00.0,-.146451871842D-03,.238742359215D-11,.000000000000D+00,.400000000000D+01,-.119781250000D+03,.391516308226D-08,-.117533519578D+01,-.620074570179D-05,.120904360665D-01,.101253390312D-04,.515371304321D+04,.936000000000D+05,-.353902578354D-07,-.117772471593D+00,.318512320518D-06,.981673427507D+00,.196812500000D+03,-.183488395156D+01,-.785604152138D-08,-.281440294547D-09,.100000000000D+01,.197400000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.111758708954D-07,.400000000000D+01,.864060000000D+05,.000000000000D+00
4,05,17 11 06 02 00 00.0,-.236504711211D-04,.125055521494D-11,.000000000000D+00,.700000000000D+02,-.871875000000D+01,.535700885521D-08,-.425592370465D+00,-.288709998131D-06,.526972545777D-02,.450387597084D-05,.515357234955D+04,.936000000000D+05,.391155481339D-07,.190976742184D+01,.447034835815D-07,.946818078865D+00,.283031250000D+03,.619168966187D+00,-.856321383509D-08,-.214294640518D-10,.100000000000D+01,.197400000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.107102096081D-07,.700000000000D+02,.864060000000D+05,.000000000000D+00
5,24,17 11 06 02 00 00.0,-.418880954385D-04,-.568434188608D-12,.000000000000D+00,.180000000000D+02,.168656250000D+03,.471305346045D-08,-.306499761304D+01,.861287117004D-05,.619725347497D-02,.879168510437D-05,.515368019485D+04,.936000000000D+05,-.316649675369D-07,-.229767479730D+01,-.651925802231D-07,.943800327563D+00,.203093750000D+03,.473907228138D+00,-.815748264904D-08,.325727853587D-09,.100000000000D+01,.197400000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,.279396772385D-08,.180000000000D+02,.864060000000D+05,.000000000000D+00
6,13,17 11 06 02 00 00.0,-.936132855713D-04,-.341060513165D-12,.000000000000D+00,.300000000000D+01,.311250000000D+02,.414874424042D-08,-.270194291751D+01,.147335231304D-05,.359366415069D-02,.121258199215D-04,.515366148376D+04,.936000000000D+05,.707805156708D-07,.309241182741D+01,.335276126862D-07,.969516979108D+00,.148843750000D+03,.169377523313D+01,-.763246077977D-08,-.437875382124D-09,.100000000000D+01,.197400000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.116415321827D-07,.300000000000D+01,.864060000000D+05,.000000000000D+00
7,28,17 11 06 02 00 00.0,.660129822791D-03,.306954461848D-11,.000000000000D+00,.730000000000D+02,-.299062500000D+02,.440625496678D-08,-.257630291199D+00,-.152736902237D-05,.199942898471D-01,.159442424774D-05,.515366097450D+04,.936000000000D+05,-.199303030968D-06,-.112951414969D+01,.298023223877D-07,.987276482748D+00,.364562500000D+03,-.155576715055D+01,-.871750597626D-08,-.136791412197D-09,.100000000000D+01,.197400000000D+04,.000000000000D+00,.200000000000D+01,.000000000000D+00,-.111758708954D-07,.730000000000D+02,.864060000000D+05,.000000000000D+00
8,12,17 11 06 02 00 00.0,.366058200598D-03,-.159161572810D-11,.000000000000D+00,.680000000000D+02,-.336562500000D+02,.436732477375D-08,.167608326803D+01,-.187009572983D-05,.656283285934D-02,.609084963799D-06,.515369247818D+04,.936000000000D+05,-.242143869400D-06,-.115282316431D+01,-.391155481339D-07,.987981707278D+00,.382281250000D+03,.910725939780D+00,-.841035032485D-08,-.159292349451D-09,.100000000000D+01,.197400000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.125728547573D-07,.680000000000D+02,.864060000000D+05,.000000000000D+00
9,20,17 11 06 02 00 00.0,.491914339364D-03,.113686837722D-11,.000000000000D+00,.200000000000D+01,.306250000000D+01,.577202614234D-08,-.219745765572D+01,.340864062309D-06,.463806837797D-02,.403821468353D-05,.515374057770D+04,.936000000000D+05,.372529029846D-07,.182608639233D+01,.447034835815D-07,.927060179389D+00,.277875000000D+03,.170635244895D+01,-.866143221199D-08,.116076263614D-09,.100000000000D+01,.197400000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.838190317154D-08,.200000000000D+01,.885960000000D+05,.000000000000D+00
10,25,17 11 06 02 00 00.0,-.484813936055D-03,-.625277607469D-11,.000000000000D+00,.750000000000D+02,-.147812500000D+02,.474055460598D-08,.124327710222D+01,-.782310962677D-06,.664780242369D-02,.121071934700D-06,.515372930717D+04,.936000000000D+05,-.106170773506D-06,-.121012093147D+01,.108033418655D-06,.975751783818D+00,.384812500000D+03,.812033305132D+00,-.867678999456D-08,-.142148778210D-09,.100000000000D+01,.197400000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,.558793544769D-08,.750000000000D+02,.910560000000D+05,.000000000000D+00
