,PRN,Epoch_Time_of_Clock,SV_Clock_Bias,SV_Clock_Drift,SV_Clock_Drift_Rate,IODE,Crs,Del_n,M0,Cuc,e,Cus,sqrt_A,Toe,Cic,OMEGA,Cis,i0,Crc,omega,OMEGA_dot,I_dot,Codes,GPS_week,L2_P_Data_flag,SV_accuracy,SV_health,Tgd,IODC,T_Tx,Fit_Interval
0,06,17 11 17 02 00 00.0,.410094391555D-03,.159161572810D-11,.000000000000D+00,.760000000000D+02,.397187500000D+02,.447661504041D-08,-.268106074501D+01,.207312405109D-05,.637356890365D-03,.764802098274D-05,.515377986717D+04,.439200000000D+06,.707805156708D-07,.749377367901D+00,-.558793544769D-07,.968880404935D+00,.238968750000D+03,-.128002505578D+01,-.795068832094D-08,.515735768179D-09,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,.465661287308D-08,.760000000000D+02,.432006000000D+06,.000000000000D+00
1,12,17 11 17 02 00 00.0,.364497303963D-03,-.170530256582D-11,.000000000000D+00,.240000000000D+02,-.751250000000D+02,.416767360033D-08,.206817546548D+01,-.406987965107D-05,.659268698655D-02,.300258398056D-05,.515368842506D+04,.439200000000D+06,-.894069671631D-07,-.128079658268D+01,-.968575477600D-07,.987869011384D+00,.335906250000D+03,.910315904323D+00,-.808212236712D-08,-.337871216549D-09,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.125728547573D-07,.240000000000D+02,.432006000000D+06,.000000000000D+00
2,28,17 11 17 02 00 00.0,.663176178932D-03,.318323145621D-11,.000000000000D+00,.840000000000D+02,-.755000000000D+02,.434053794369D-08,.133136645836D+00,-.391714274883D-05,.199983388884D-01,.416114926338D-05,.515366039276D+04,.439200000000D+06,-.257045030594D-06,-.125749681078D+01,-.279396772385D-07,.987162492172D+00,.317468750000D+03,-.155252920521D+01,-.853142679674D-08,-.408588447920D-09,.100000000000D+01,.197500000000D+04,.000000000000D+00,.200000000000D+01,.000000000000D+00,-.111758708954D-07,.840000000000D+02,.432006000000D+06,.000000000000D+00
3,20,17 11 17 02 00 00.0,.492976047099D-03,.113686837722D-11,.000000000000D+00,.610000000000D+02,-.242187500000D+02,.563130599507D-08,-.181772338121D+01,-.101141631603D-05,.465512135997D-02,.424869358540D-05,.515374777222D+04,.439200000000D+06,.223517417908D-07,.169760258085D+01,.894069671631D-07,.927051508674D+00,.276437500000D+03,.171501459171D+01,-.865500337277D-08,-.176793078427D-09,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.838190317154D-08,.610000000000D+02,.432006000000D+06,.000000000000D+00
4,24,17 11 17 02 00 00.0,-.423169694841D-04,-.454747350886D-12,.000000000000D+00,.580000000000D+02,.117187500000D+03,.500342269835D-08,-.267223448040D+01,.592321157455D-05,.629356410354D-02,.599958002567D-05,.515367111778D+04,.439200000000D+06,-.521540641785D-07,-.242604690620D+01,-.176951289177D-06,.943759178604D+00,.256187500000D+03,.475709587099D+00,-.836463413487D-08,.430017911972D-09,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,.279396772385D-08,.580000000000D+02,.432006000000D+06,.000000000000D+00
5,13,17 11 17 02 00 00.0,-.940226018429D-04,-.341060513165D-12,.000000000000D+00,.580000000000D+02,.475625000000D+02,.401873882517D-08,-.229210470892D+01,.244192779064D-05,.360716495197D-02,.126007944345D-04,.515366682816D+04,.439200000000D+06,.540167093277D-07,.296448925568D+01,.745058059692D-08,.969440123244D+00,.138437500000D+03,.167865837250D+01,-.764317551180D-08,-.128933942045D-09,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.116415321827D-07,.580000000000D+02,.432006000000D+06,.000000000000D+00
6,05,17 11 17 02 00 00.0,-.225105322897D-04,.113686837722D-11,.000000000000D+00,.330000000000D+02,-.345312500000D+02,.518343019639D-08,-.307407350121D-01,-.169128179550D-05,.528892921284D-02,.508129596710D-05,.515358275414D+04,.439200000000D+06,.763684511185D-07,.178151254973D+01,.763684511185D-07,.946786144826D+00,.272531250000D+03,.625693428677D+00,-.848428197583D-08,-.281083136812D-09,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.107102096081D-07,.330000000000D+02,.432006000000D+06,.000000000000D+00
7,02,17 11 17 02 00 00.0,.278974883258D-03,-.966338120634D-11,.000000000000D+00,.600000000000D+02,.390312500000D+02,.477127017113D-08,-.254592505380D+01,.206381082535D-05,.172870681854D-01,.780262053013D-05,.515361923409D+04,.439200000000D+06,.217929482460D-06,.700650072659D+00,-.894069671631D-07,.948173018961D+00,.220656250000D+03,-.193869593051D+01,-.784425531615D-08,.667527805212D-09,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.204890966415D-07,.600000000000D+02,.432006000000D+06,.000000000000D+00
8,19,17 11 17 02 00 00.0,-.475199893117D-03,.216004991671D-11,.000000000000D+00,.660000000000D+02,-.709687500000D+02,.379087219076D-08,.219496939591D+01,-.391714274883D-05,.982447376009D-02,.125616788864D-04,.515369148827D+04,.439200000000D+06,.186264514923D-07,-.198307181250D+00,-.182539224625D-06,.979146959207D+00,.146187500000D+03,.109297705090D+01,-.750459831093D-08,-.117862052285D-10,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.153668224812D-07,.660000000000D+02,.432006000000D+06,.000000000000D+00
9,17,17 11 17 02 00 00.0,-.144077930599D-03,.261479726760D-11,.000000000000D+00,.200000000000D+02,-.607500000000D+02,.386123226439D-08,-.788256967187D+00,-.314228236675D-05,.121454575565D-01,.121537595987D-04,.515371985435D+04,.439200000000D+06,-.109896063805D-06,-.245698681605D+00,.165775418282D-06,.981755838071D+00,.159375000000D+03,-.183195779649D+01,-.783711216146D-08,-.214294640518D-10,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.111758708954D-07,.200000000000D+02,.432006000000D+06,.000000000000D+00
