,PRN,Epoch_Time_of_Clock,SV_Clock_Bias,SV_Clock_Drift,SV_Clock_Drift_Rate,IODE,Crs,Del_n,M0,Cuc,e,Cus,sqrt_A,Toe,Cic,OMEGA,Cis,i0,Crc,omega,OMEGA_dot,I_dot,Codes,GPS_week,L2_P_Data_flag,SV_accuracy,SV_health,Tgd,IODC,T_Tx,Fit_Interval
0,24,17 11 30 02 00 00.0,-.428515486419D-04,-.568434188608D-12,.000000000000D+00,.870000000000D+02,.848750000000D+02,.518521598506D-08,-.221343845140D+01,.424124300480D-05,.636732904240D-02,.461563467979D-05,.515366605568D+04,.352800000000D+06,.856816768646D-07,-.267615734643D+01,-.949949026108D-07,.943720437607D+00,.282437500000D+03,.483101579028D+00,-.851892627604D-08,.340371320689D-09,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,.279396772385D-08,.870000000000D+02,.345606000000D+06,.000000000000D+00
1,06,17 11 30 02 00 00.0,.411720946431D-03,.125055521494D-11,.000000000000D+00,.470000000000D+02,.293437500000D+02,.459590572364D-08,-.222283667309D+01,.149942934513D-05,.683967140503D-03,.604055821896D-05,.515378846169D+04,.352800000000D+06,.316649675369D-07,.499639284210D+00,.204890966415D-07,.969162515520D+00,.269437500000D+03,-.128415308291D+01,-.814605360154D-08,.370372570361D-09,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,.465661287308D-08,.470000000000D+02,.345606000000D+06,.000000000000D+00
2,25,17 11 30 02 00 00.0,-.497809611261D-03,-.625277607469D-11,.000000000000D+00,.750000000000D+02,-.619687500000D+02,.436768193148D-08,.209968126715D+01,-.331364572048D-05,.673925899900D-02,.552833080292D-05,.515372074318D+04,.352800000000D+06,-.165775418282D-06,-.158818218653D+01,-.838190317154D-07,.975575682129D+00,.280250000000D+03,.804895524478D+00,-.810462330438D-08,-.335013954676D-09,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,.558793544769D-08,.750000000000D+02,.345606000000D+06,.000000000000D+00
3,17,17 11 30 02 00 00.0,-.141291879117D-03,.238742359215D-11,.000000000000D+00,.300000000000D+01,-.273125000000D+02,.397730852801D-08,-.333497837215D+00,-.135228037834D-05,.121964307036D-01,.113565474749D-04,.515372266388D+04,.352800000000D+06,-.763684511185D-07,-.495371857083D+00,.108033418655D-06,.981755292403D+00,.176187500000D+03,-.182639440242D+01,-.793711632704D-08,.123933733766D-09,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.111758708954D-07,.300000000000D+01,.345606000000D+06,.000000000000D+00
4,12,17 11 30 02 00 00.0,.362598337233D-03,-.170530256582D-11,.000000000000D+00,.117000000000D+03,-.655312500000D+02,.398588031363D-08,.253442148234D+01,-.357627868652D-05,.661653291900D-02,.573694705963D-05,.515368580627D+04,.352800000000D+06,-.782310962677D-07,-.153058438950D+01,-.875443220139D-07,.987800599483D+00,.281156250000D+03,.907634698788D+00,-.787425656582D-08,-.390016245742D-09,.100000000000D+01,.197700000000D+04,.000000000000D+00,.100000000000D+01,.000000000000D+00,-.125728547573D-07,.117000000000D+03,.345606000000D+06,.000000000000D+00
5,05,17 11 30 02 00 00.0,-.212118029594D-04,.113686837722D-11,.000000000000D+00,.700000000000D+02,-.570000000000D+02,.500342269835D-08,.437352109128D+00,-.285357236862D-05,.528021191712D-02,.682100653648D-05,.515359608269D+04,.352800000000D+06,-.428408384323D-07,.153142198763D+01,.949949026108D-07,.946827636109D+00,.239593750000D+03,.631478254415D+00,-.839749264642D-08,-.322513433979D-09,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.107102096081D-07,.700000000000D+02,.345606000000D+06,.000000000000D+00
6,02,17 11 30 02 00 00.0,.267997384071D-03,-.989075488178D-11,.000000000000D+00,.300000000000D+01,.297500000000D+02,.491163316066D-08,-.208093502673D+01,.159442424774D-05,.173544334248D-01,.566057860851D-05,.515362837219D+04,.352800000000D+06,.268220901489D-06,.450643372340D+00,-.391155481339D-07,.948453319916D+00,.262375000000D+03,-.193358411146D+01,-.807783647431D-08,.487163149443D-09,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.204890966415D-07,.300000000000D+01,.345606000000D+06,.000000000000D+00
7,19,17 11 30 02 00 00.0,-.472764950246D-03,.216004991671D-11,.000000000000D+00,.490000000000D+02,-.292500000000D+02,.389980529969D-08,.265396640646D+01,-.157766044140D-05,.980475102551D-02,.113174319267D-04,.515369126320D+04,.352800000000D+06,.596046447754D-07,-.447999992015D+00,-.156462192535D-06,.979163348278D+00,.168406250000D+03,.109729750150D+01,-.754995734317D-08,.932181686252D-10,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.153668224812D-07,.490000000000D+02,.345606000000D+06,.000000000000D+00
8,20,17 11 30 02 00 00.0,.494201201946D-03,.102318153949D-11,.000000000000D+00,.500000000000D+01,-.508125000000D+02,.545737017852D-08,-.137393908608D+01,-.245310366154D-05,.465202017222D-02,.628829002380D-05,.515375717545D+04,.352800000000D+06,-.987201929092D-07,.144725067722D+01,.819563865662D-07,.927131985260D+00,.240000000000D+03,.173003931629D+01,-.862857370044D-08,-.242152943785D-09,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.838190317154D-08,.500000000000D+01,.345606000000D+06,.000000000000D+00
9,13,17 11 30 02 00 00.0,-.944007188082D-04,-.341060513165D-12,.000000000000D+00,.142000000000D+03,.533125000000D+02,.409659921123D-08,-.181830184096D+01,.285543501377D-05,.363898393698D-02,.114031136036D-04,.515366670418D+04,.352800000000D+06,.186264514923D-07,.271483797569D+01,.447034835815D-07,.969227331569D+00,.164500000000D+03,.167133018721D+01,-.777389524251D-08,.707172313708D-10,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.116415321827D-07,.142000000000D+03,.345606000000D+06,.000000000000D+00
