,PRN,Epoch_Time_of_Clock,SV_Clock_Bias,SV_Clock_Drift,SV_Clock_Drift_Rate,IODE,Crs,Del_n,M0,Cuc,e,Cus,sqrt_A,Toe,Cic,OMEGA,Cis,i0,Crc,omega,OMEGA_dot,I_dot,Codes,GPS_week,L2_P_Data_flag,SV_accuracy,SV_health,Tgd,IODC,T_Tx,Fit_Interval
0,13,17 11 25 02 00 00.0,-.942614860833D-04,-.341060513165D-12,.000000000000D+00,.580000000000D+02,.160312500000D+02,.453876048616D-08,-.199978576713D+01,.892207026482D-06,.363672652747D-02,.680424273014D-05,.515365410233D+04,.525600000000D+06,.298023223877D-07,.283868216443D+01,.502914190292D-07,.969176032883D+00,.251750000000D+03,.167335876744D+01,-.794068790438D-08,-.196436753808D-10,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.116415321827D-07,.580000000000D+02,.518406000000D+06,.000000000000D+00
1,12,17 11 25 01 59 44.0,.363332219422D-03,-.170530256582D-11,.000000000000D+00,.240000000000D+02,.587500000000D+02,.384337437768D-08,.235297906062D+01,.291503965855D-05,.660874694586D-02,.685080885887D-05,.515368862343D+04,.525584000000D+06,-.614672899246D-07,-.140679754862D+01,-.139698386192D-06,.987881362801D+00,.259500000000D+03,.908509254623D+00,-.770567811528D-08,.375015620906D-10,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.125728547573D-07,.240000000000D+02,.518406000000D+06,.000000000000D+00
2,02,17 11 25 02 00 00.0,.272237230092D-03,-.977706804406D-11,.000000000000D+00,.600000000000D+02,-.840312500000D+02,.459090551536D-08,-.225891827916D+01,-.427477061749D-05,.173359307228D-01,.649131834507D-05,.515362995148D+04,.525600000000D+06,.232830643654D-06,.574690590696D+00,-.137835741043D-06,.948407324309D+00,.245843750000D+03,-.193648610790D+01,-.782496879850D-08,.792890169915D-10,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.204890966415D-07,.600000000000D+02,.518406000000D+06,.000000000000D+00
3,06,17 11 25 02 00 00.0,.411132350564D-03,.136424205266D-11,.000000000000D+00,.710000000000D+02,-.836250000000D+02,.425696303388D-08,-.238303425613D+01,-.434555113316D-05,.660318066366D-03,.727549195290D-05,.515379288673D+04,.525600000000D+06,.121071934700D-06,.623579573495D+00,-.223517417908D-07,.969124794178D+00,.246531250000D+03,-.129868130333D+01,-.793640201157D-08,-.803604901941D-10,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,.465661287308D-08,.710000000000D+02,.518406000000D+06,.000000000000D+00
4,05,17 11 25 02 00 00.0,-.217049382627D-04,.113686837722D-11,.000000000000D+00,.105000000000D+03,-.184687500000D+02,.476662712058D-08,.258786311009D+00,-.834465026855D-06,.527404039167D-02,.876560807228D-05,.515359466362D+04,.525600000000D+06,.391155481339D-07,.165536624289D+01,.987201929092D-07,.946868979637D+00,.202437500000D+03,.628116176086D+00,-.811248077453D-08,.273225666660D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.107102096081D-07,.105000000000D+03,.518406000000D+06,.000000000000D+00
5,19,17 11 25 02 00 00.0,-.473712570965D-03,.216004991671D-11,.000000000000D+00,.660000000000D+02,-.235312500000D+02,.422660462648D-08,.247654720403D+01,-.147707760334D-05,.981344573665D-02,.369362533092D-05,.515368737793D+04,.525600000000D+06,.186264514923D-08,-.324151695408D+00,-.121071934700D-06,.979068757458D+00,.316281250000D+03,.109647565167D+01,-.797283210046D-08,-.907180644858D-10,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.153668224812D-07,.660000000000D+02,.518406000000D+06,.000000000000D+00
6,17,17 11 25 02 00 00.0,-.142329838127D-03,.250111042988D-11,.000000000000D+00,.630000000000D+02,-.126875000000D+02,.433053752713D-08,-.508515010080D+00,-.592321157455D-06,.121832303703D-01,.418163836002D-05,.515371677780D+04,.525600000000D+06,-.121071934700D-06,-.371539522375D+00,.108033418655D-06,.981665732558D+00,.313062500000D+03,-.182839609713D+01,-.835891961113D-08,-.714315468392D-12,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.111758708954D-07,.630000000000D+02,.518406000000D+06,.000000000000D+00
7,24,17 11 25 02 00 00.0,-.426270999014D-04,-.454747350886D-12,.000000000000D+00,.240000000000D+02,.182187500000D+02,.494520598768D-08,-.238865140366D+01,.786036252975D-06,.634726614226D-02,.831484794617D-05,.515366722870D+04,.525600000000D+06,.372529029846D-08,-.255209235070D+01,-.137835741043D-06,.943760432324D+00,.211093750000D+03,.478729543018D+00,-.815141096756D-08,-.187507810453D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,.279396772385D-08,.240000000000D+02,.518406000000D+06,.000000000000D+00
8,20,17 11 25 02 00 00.0,.493733678013D-03,.113686837722D-11,.000000000000D+00,.610000000000D+02,-.127500000000D+02,.512842790532D-08,-.154563347167D+01,-.433996319771D-06,.464612198994D-02,.873766839504D-05,.515376021767D+04,.525600000000D+06,-.223517417908D-07,.157130120030D+01,.707805156708D-07,.927173851050D+00,.192593750000D+03,.172554026388D+01,-.828855953749D-08,.306441335940D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.838190317154D-08,.610000000000D+02,.518406000000D+06,.000000000000D+00
9,15,17 11 25 02 00 00.0,-.357273966074D-03,-.113686837722D-12,.000000000000D+00,.250000000000D+02,.163125000000D+02,.544808407743D-08,-.132954849737D+01,.834465026855D-06,.996403174940D-02,.609457492828D-05,.515364581108D+04,.525600000000D+06,.184401869774D-06,.264368588863D+01,-.596046447754D-07,.928716999945D+00,.238531250000D+03,.638699228295D+00,-.842427947648D-08,.119647840956D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.107102096081D-07,.250000000000D+02,.518436000000D+06,.000000000000D+00
