,PRN,Epoch_Time_of_Clock,SV_Clock_Bias,SV_Clock_Drift,SV_Clock_Drift_Rate,IODE,Crs,Del_n,M0,Cuc,e,Cus,sqrt_A,Toe,Cic,OMEGA,Cis,i0,Crc,omega,OMEGA_dot,I_dot,Codes,GPS_week,L2_P_Data_flag,SV_accuracy,SV_health,Tgd,IODC,T_Tx,Fit_Interval
0,24,17 11 28 02 00 00.0,-.427588820457D-04,-.454747350886D-12,.000000000000D+00,.640000000000D+02,.291562500000D+02,.521593155020D-08,-.228398444711D+01,.134482979774D-05,.636306742672D-02,.513158738613D-05,.515366463280D+04,.180000000000D+06,.800937414169D-07,-.267467507980D+01,-.150874257088D-06,.943702525638D+00,.272250000000D+03,.481792928586D+00,-.847463871700D-08,.589310261424D-10,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,.279396772385D-08,.640000000000D+02,.172806000000D+06,.000000000000D+00
1,13,17 11 28 02 00 00.0,-.943467020988D-04,-.341060513165D-12,.000000000000D+00,.420000000000D+02,.497812500000D+02,.432339437244D-08,-.189171496008D+01,.267103314400D-05,.363572116476D-02,.899285078049D-05,.515366119576D+04,.180000000000D+06,.745058059692D-08,.271619712314D+01,.372529029846D-07,.969199132360D+00,.210156250000D+03,.167304571174D+01,-.789140013706D-08,.233224000430D-09,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.116415321827D-07,.420000000000D+02,.172806000000D+06,.000000000000D+00
2,05,17 11 28 02 00 00.0,-.214087776840D-04,.113686837722D-11,.000000000000D+00,.930000000000D+02,-.562812500000D+02,.477484174847D-08,.365472071104D+00,-.281259417534D-05,.527913914993D-02,.876747071743D-05,.515359811592D+04,.180000000000D+06,-.167638063431D-07,.153285144731D+01,.124797224998D-06,.946882172232D+00,.202562500000D+03,.630562808558D+00,-.820284168128D-08,-.121790787361D-09,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.107102096081D-07,.930000000000D+02,.172806000000D+06,.000000000000D+00
3,02,17 11 28 02 00 00.0,.269697513431D-03,-.977706804406D-11,.000000000000D+00,.370000000000D+02,-.221250000000D+02,.489091801208D-08,-.215213413490D+01,-.107288360596D-05,.173519195523D-01,.413320958614D-05,.515362789536D+04,.180000000000D+06,.270083546638D-06,.452108527221D+00,-.800937414169D-07,.948408155246D+00,.291531250000D+03,-.193477984218D+01,-.810390898891D-08,.209294432239D-09,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.204890966415D-07,.370000000000D+02,.172806000000D+06,.000000000000D+00
4,17,17 11 28 02 00 00.0,-.141701195389D-03,.238742359215D-11,.000000000000D+00,.770000000000D+02,.212187500000D+02,.416231623432D-08,-.403725616061D+00,.119209289551D-05,.121879081707D-01,.837631523609D-05,.515371961403D+04,.180000000000D+06,-.894069671631D-07,-.494028930471D+00,.726431608200D-07,.981710748010D+00,.232781250000D+03,-.182691503302D+01,-.813855328913D-08,.210008747707D-09,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.111758708954D-07,.770000000000D+02,.172806000000D+06,.000000000000D+00
5,06,17 11 28 02 00 00.0,.411494169384D-03,.136424205266D-11,.000000000000D+00,.430000000000D+02,-.196250000000D+02,.458947688442D-08,-.228174074185D+01,-.106170773506D-05,.675503164530D-03,.481493771076D-05,.515378791618D+04,.180000000000D+06,.968575477600D-07,.501062947809D+00,.279396772385D-07,.969122002930D+00,.293406250000D+03,-.129518612433D+01,-.819784147300D-08,.460733477113D-10,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,.465661287308D-08,.430000000000D+02,.172806000000D+06,.000000000000D+00
6,20,17 11 28 02 00 00.0,.494014937431D-03,.113686837722D-11,.000000000000D+00,.780000000000D+02,-.508437500000D+02,.518807324693D-08,-.144267574910D+01,-.245310366154D-05,.465327512939D-02,.835396349430D-05,.515376168442D+04,.180000000000D+06,-.651925802231D-07,.144872630805D+01,.949949026108D-07,.927183124487D+00,.200343750000D+03,.172825705490D+01,-.842427947648D-08,-.835749098019D-10,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.838190317154D-08,.780000000000D+02,.172806000000D+06,.000000000000D+00
7,12,17 11 28 02 00 00.0,.362894497812D-03,-.170530256582D-11,.000000000000D+00,.115000000000D+03,-.145937500000D+02,.380944439294D-08,.246301621536D+01,-.907108187675D-06,.661041296553D-02,.819563865662D-05,.515368879509D+04,.180000000000D+06,-.521540641785D-07,-.152922314715D+01,-.968575477600D-07,.987859171797D+00,.234031250000D+03,.907704948115D+00,-.767960560068D-08,-.258225041824D-09,.100000000000D+01,.197700000000D+04,.000000000000D+00,.100000000000D+01,.000000000000D+00,-.125728547573D-07,.115000000000D+03,.172806000000D+06,.000000000000D+00
8,19,17 11 28 02 00 00.0,-.473143532872D-03,.216004991671D-11,.000000000000D+00,.400000000000D+02,.157500000000D+02,.409338479162D-08,.258309802164D+01,.676140189171D-06,.980921043083D-02,.801123678684D-05,.515368788910D+04,.180000000000D+06,.204890966415D-07,-.446650436921D+00,-.163912773132D-06,.979113983570D+00,.231718750000D+03,.109691910750D+01,-.775139430526D-08,.144648882349D-09,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.153668224812D-07,.400000000000D+02,.172806000000D+06,.000000000000D+00
9,15,17 11 28 02 00 00.0,-.357298180461D-03,-.113686837722D-12,.000000000000D+00,.820000000000D+02,.397500000000D+02,.519021619334D-08,-.122242601381D+01,.209361314774D-05,.996799778659D-02,.904314219952D-05,.515365395355D+04,.180000000000D+06,.203028321266D-06,.252108703378D+01,-.409781932831D-07,.928749862937D+00,.182718750000D+03,.639733087131D+00,-.832820404598D-08,.217151902391D-09,.100000000000D+01,.197700000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.107102096081D-07,.820000000000D+02,.172986000000D+06,.000000000000D+00
