,PRN,Epoch_Time_of_Clock,SV_Clock_Bias,SV_Clock_Drift,SV_Clock_Drift_Rate,IODE,Crs,Del_n,M0,Cuc,e,Cus,sqrt_A,Toe,Cic,OMEGA,Cis,i0,Crc,omega,OMEGA_dot,I_dot,Codes,GPS_week,L2_P_Data_flag,SV_accuracy,SV_health,Tgd,IODC,T_Tx,Fit_Interval
0,17,17 11 16 02 00 00.0,-.144300516695D-03,.250111042988D-11,.000000000000D+00,.100000000000D+02,-.237812500000D+02,.387230415415D-08,-.823453245962D+00,-.122562050819D-05,.121419375064D-01,.122319906950D-04,.515371934891D+04,.352800000000D+06,-.104308128357D-06,-.245043937989D+00,.189989805222D-06,.981747009361D+00,.158250000000D+03,-.183215402061D+01,-.784675542029D-08,.978612191697D-10,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.111758708954D-07,.100000000000D+02,.345606000000D+06,.000000000000D+00
1,13,17 11 16 02 00 00.0,-.939927995205D-04,-.341060513165D-12,.000000000000D+00,.100000000000D+02,.612187500000D+02,.404874007485D-08,-.232864896576D+01,.313669443130D-05,.360758940224D-02,.123754143715D-04,.515366668701D+04,.352800000000D+06,.670552253723D-07,.296515493168D+01,.130385160446D-07,.969447780157D+00,.142656250000D+03,.167940380680D+01,-.768603443990D-08,.589310261424D-10,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.116415321827D-07,.100000000000D+02,.345606000000D+06,.000000000000D+00
2,12,17 11 16 02 00 00.0,.364638399333D-03,-.170530256582D-11,.000000000000D+00,.113000000000D+03,-.874375000000D+02,.408981321428D-08,.203226378465D+01,-.468455255032D-05,.659080024343D-02,.475347042084D-05,.515369020271D+04,.352800000000D+06,-.968575477600D-07,-.128009915112D+01,-.111758708954D-06,.987898474554D+00,.302250000000D+03,.910566525596D+00,-.800319050787D-08,-.416803075807D-09,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.125728547573D-07,.113000000000D+03,.345606000000D+06,.000000000000D+00
3,28,17 11 16 02 00 00.0,.662894919515D-03,.306954461848D-11,.000000000000D+00,.128000000000D+03,-.802812500000D+02,.425696303388D-08,.976843944328D-01,-.417418777943D-05,.199928290676D-01,.584125518799D-05,.515366156387D+04,.352800000000D+06,-.242143869400D-06,-.125679973324D+01,-.204890966415D-07,.987192648765D+00,.285375000000D+03,-.155292541463D+01,-.843320841984D-08,-.461090634847D-09,.100000000000D+01,.197500000000D+04,.000000000000D+00,.200000000000D+01,.000000000000D+00,-.111758708954D-07,.128000000000D+03,.345606000000D+06,.000000000000D+00
4,24,17 11 16 02 00 00.0,-.422787852585D-04,-.454747350886D-12,.000000000000D+00,.170000000000D+02,.100093750000D+03,.513021369399D-08,-.270774393775D+01,.504404306412D-05,.628467625938D-02,.496394932270D-05,.515366895103D+04,.352800000000D+06,-.707805156708D-07,-.242531309479D+01,-.165775418282D-06,.943729743229D+00,.276312500000D+03,.475347832328D+00,-.846356682724D-08,.405731186047D-09,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,.279396772385D-08,.170000000000D+02,.345606000000D+06,.000000000000D+00
5,05,17 11 16 02 00 00.0,-.226143747568D-04,.113686837722D-11,.000000000000D+00,.960000000000D+02,-.508437500000D+02,.509556939378D-08,-.661507227117D-01,-.253506004810D-05,.528886879329D-02,.607781112194D-05,.515358470917D+04,.352800000000D+06,.875443220139D-07,.178223944739D+01,.670552253723D-07,.946819598837D+00,.253281250000D+03,.624593921392D+00,-.845499504162D-08,-.370015412627D-09,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.107102096081D-07,.960000000000D+02,.345606000000D+06,.000000000000D+00
6,06,17 11 16 02 00 00.0,.409954227507D-03,.159161572810D-11,.000000000000D+00,.160000000000D+02,.385312500000D+02,.458483383388D-08,-.272273609632D+01,.201910734177D-05,.632181181572D-03,.631436705589D-05,.515377776527D+04,.352800000000D+06,.540167093277D-07,.750073977306D+00,-.707805156708D-07,.968836747071D+00,.264750000000D+03,-.127337062326D+01,-.807247910830D-08,.418588864478D-09,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,.465661287308D-08,.160000000000D+02,.345606000000D+06,.000000000000D+00
7,19,17 11 16 02 00 00.0,-.475383829325D-03,.216004991671D-11,.000000000000D+00,.130000000000D+02,-.325000000000D+02,.382623080644D-08,.215973731222D+01,-.195205211639D-05,.982379622292D-02,.125970691442D-04,.515369048119D+04,.352800000000D+06,.167638063431D-07,-.197650638245D+00,-.175088644028D-06,.979133988975D+00,.145718750000D+03,.109260296959D+01,-.753602819154D-08,.110718897601D-09,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.153668224812D-07,.130000000000D+02,.345606000000D+06,.000000000000D+00
8,02,17 11 16 02 00 00.0,.279812142253D-03,-.966338120634D-11,.000000000000D+00,.800000000000D+01,.411562500000D+02,.489627537809D-08,-.258199370720D+01,.217929482460D-05,.172802264569D-01,.632181763649D-05,.515361694908D+04,.352800000000D+06,.199303030968D-06,.701366178374D+00,-.987201929092D-07,.948127947918D+00,.249500000000D+03,-.193887643412D+01,-.797711799327D-08,.586810157284D-09,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.204890966415D-07,.800000000000D+01,.345606000000D+06,.000000000000D+00
9,20,17 11 16 02 00 00.0,.492879655212D-03,.113686837722D-11,.000000000000D+00,.120000000000D+02,-.436250000000D+02,.555415992448D-08,-.185161396171D+01,-.201910734177D-05,.465158279985D-02,.501051545143D-05,.515374979401D+04,.352800000000D+06,.409781932831D-07,.169835300077D+01,.819563865662D-07,.927079119789D+00,.261468750000D+03,.171355751067D+01,-.863143096232D-08,-.288940606965D-09,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.838190317154D-08,.120000000000D+02,.346056000000D+06,.000000000000D+00
10,15,17 11 16 02 00 00.0,-.357174314559D-03,-.113686837722D-12,.000000000000D+00,.430000000000D+02,.217187500000D+02,.491949063082D-08,-.164782373132D+01,.910833477974D-06,.992954790127D-02,.119656324387D-04,.515365353775D+04,.352800000000D+06,.115483999252D-06,.277056425724D+01,-.145286321640D-06,.929011502909D+00,.125875000000D+03,.632484279772D+00,-.806926468869D-08,-.357157734196D-10,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.107102096081D-07,.430000000000D+02,.347796000000D+06,.000000000000D+00
11,25,17 11 16 02 00 00.0,-.490239821374D-03,-.625277607469D-11,.000000000000D+00,.600000000000D+02,-.779687500000D+02,.448732977244D-08,.159882704556D+01,-.409036874771D-05,.669081858359D-02,.404752790928D-05,.515372605133D+04,.352800000000D+06,-.134110450745D-06,-.133752191732D+01,.391155481339D-07,.975664598290D+00,.309906250000D+03,.810027190941D+00,-.827713048999D-08,-.380730144653D-09,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,.558793544769D-08,.600000000000D+02,.351006000000D+06,.000000000000D+00
12,29,17 11 16 01 59 44.0,.537732150406D-03,-.488853402203D-11,.000000000000D+00,.130000000000D+02,-.400312500000D+02,.374444168531D-08,.405674730575D+00,-.213086605072D-05,.429874518886D-03,.118892639875D-04,.515378113937D+04,.352784000000D+06,-.372529029846D-08,-.234712062962D+00,.204890966415D-07,.982941656060D+00,.161968750000D+03,.995487269926D+00,-.756245786387D-08,.882179603464D-10,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.102445483208D-07,.130000000000D+02,.351756000000D+06,.000000000000D+00
13,12,17 11 16 03 59 44.0,.364629086107D-03,-.170530256582D-11,.000000000000D+00,.130000000000D+02,-.905937500000D+02,.414302971667D-08,.308018955501D+01,-.472366809845D-05,.659154297318D-02,.491365790367D-05,.515368843079D+04,.359984000000D+06,.745058059692D-08,-.128015636438D+01,-.130385160446D-06,.987895695010D+00,.295937500000D+03,.910475543795D+00,-.795854579109D-08,-.405731186047D-09,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.125728547573D-07,.130000000000D+02,.352806000000D+06,.000000000000D+00
14,25,17 11 16 04 00 00.0,-.490284990519D-03,-.625277607469D-11,.000000000000D+00,.610000000000D+02,-.805625000000D+02,.442232706482D-08,.264900847761D+01,-.423565506935D-05,.669128308073D-02,.422075390816D-05,.515372523499D+04,.360000000000D+06,-.111758708954D-07,-.133758114941D+01,-.912696123123D-07,.975662738921D+00,.305500000000D+03,.809994207990D+00,-.811498087867D-08,-.343942898031D-09,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,.558793544769D-08,.610000000000D+02,.352806000000D+06,.000000000000D+00
15,29,17 11 16 03 59 44.0,.537697225809D-03,-.488853402203D-11,.000000000000D+00,.140000000000D+02,-.426250000000D+02,.369265381385D-08,.145372623143D+01,-.226870179176D-05,.430943793617D-03,.123772770166D-04,.515378367996D+04,.359984000000D+06,-.167638063431D-07,-.234766534717D+00,.149011611938D-07,.982942311447D+00,.151437500000D+03,.997544034730D+00,-.755638618239D-08,.939324840936D-10,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.102445483208D-07,.140000000000D+02,.352806000000D+06,.000000000000D+00
16,05,17 11 16 04 00 00.0,-.226055271924D-04,.113686837722D-11,.000000000000D+00,.105000000000D+03,-.459062500000D+02,.506235372450D-08,.984037277834D+00,-.221095979214D-05,.528956600465D-02,.630877912045D-05,.515358612251D+04,.360000000000D+06,-.633299350739D-07,.178217950579D+01,.577419996262D-07,.946816747609D+00,.251156250000D+03,.624644298439D+00,-.838106339065D-08,-.478948521557D-09,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.107102096081D-07,.105000000000D+03,.352806000000D+06,.000000000000D+00
17,13,17 11 16 04 00 00.0,-.939955934882D-04,-.341060513165D-12,.000000000000D+00,.110000000000D+02,.653437500000D+02,.401802450971D-08,-.127809734961D+01,.339560210705D-05,.360772735439D-02,.120326876640D-04,.515366907310D+04,.360000000000D+06,-.242143869400D-07,.296509932616D+01,.502914190292D-07,.969447709937D+00,.153187500000D+03,.167903368121D+01,-.778496713227D-08,.485734518507D-10,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.116415321827D-07,.110000000000D+02,.352806000000D+06,.000000000000D+00
18,02,17 11 16 04 00 00.0,.279742758721D-03,-.966338120634D-11,.000000000000D+00,.900000000000D+01,.453750000000D+02,.504735309966D-08,-.153180228196D+01,.255182385445D-05,.172808113275D-01,.613182783127D-05,.515361563683D+04,.360000000000D+06,.420957803726D-06,.701309459577D+00,.257045030594D-06,.948130724536D+00,.254718750000D+03,-.193884917264D+01,-.825498671047D-08,.393944980818D-09,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.204890966415D-07,.900000000000D+01,.352806000000D+06,.000000000000D+00
19,15,17 11 16 04 00 00.0,-.357175245881D-03,-.113686837722D-12,.000000000000D+00,.460000000000D+02,.290625000000D+02,.499020786219D-08,-.597711378267D+00,.163167715073D-05,.992952252273D-02,.121053308249D-04,.515365207481D+04,.360000000000D+06,.115483999252D-06,.277050612087D+01,.128522515297D-06,.929009841035D+00,.127187500000D+03,.632568652109D+00,-.831784647169D-08,-.147863301957D-09,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.107102096081D-07,.460000000000D+02,.352806000000D+06,.000000000000D+00
