,PRN,Epoch_Time_of_Clock,SV_Clock_Bias,SV_Clock_Drift,SV_Clock_Drift_Rate,IODE,Crs,Del_n,M0,Cuc,e,Cus,sqrt_A,Toe,Cic,OMEGA,Cis,i0,Crc,omega,OMEGA_dot,I_dot,Codes,GPS_week,L2_P_Data_flag,SV_accuracy,SV_health,Tgd,IODC,T_Tx,Fit_Interval
0,02,17 11 23 02 00 00.0,.273925717920D-03,-.977706804406D-11,.000000000000D+00,.500000000000D+02,-.821875000000D+02,.441446959466D-08,-.233045058595D+01,-.417605042458D-05,.173238154966D-01,.899657607079D-05,.515363062286D+04,.352800000000D+06,.204890966415D-06,.576088920942D+00,-.115483999252D-06,.948398599466D+00,.197312500000D+03,-.193720284414D+01,-.762317467868D-08,.228223792151D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.204890966415D-07,.500000000000D+02,.345606000000D+06,.000000000000D+00
1,20,17 11 23 02 00 00.0,.493543222547D-03,.113686837722D-11,.000000000000D+00,.550000000000D+02,.122812500000D+02,.527950562689D-08,-.161440506625D+01,.890344381332D-06,.464774796274D-02,.738725066185D-05,.515375567627D+04,.352800000000D+06,-.186264514923D-07,.157273948870D+01,.596046447754D-07,.927117253675D+00,.217906250000D+03,.172378883203D+01,-.834070456668D-08,.430017911972D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.838190317154D-08,.550000000000D+02,.345606000000D+06,.000000000000D+00
2,06,17 11 23 02 00 00.0,.410883687437D-03,.147792889038D-11,.000000000000D+00,.540000000000D+02,-.809687500000D+02,.407195532757D-08,-.245662115236D+01,-.417791306973D-05,.656229443848D-03,.962056219578D-05,.515379446220D+04,.352800000000D+06,.856816768646D-07,.624934782768D+00,-.298023223877D-07,.969114097321D+00,.201218750000D+03,-.129487439404D+01,-.773139347214D-08,.102147111980D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,.465661287308D-08,.540000000000D+02,.345606000000D+06,.000000000000D+00
3,12,17 11 23 01 59 44.0,.363624189049D-03,-.170530256582D-11,.000000000000D+00,.110000000000D+02,.666250000000D+02,.399195199511D-08,.228138458567D+01,.329874455929D-05,.660767813679D-02,.421330332756D-05,.515368714905D+04,.352784000000D+06,-.912696123123D-07,-.140543440594D+01,-.135973095894D-06,.987859076707D+00,.310187500000D+03,.908822880852D+00,-.786425614926D-08,.123933733766D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.125728547573D-07,.110000000000D+02,.345606000000D+06,.000000000000D+00
4,05,17 11 23 02 00 00.0,-.219061039388D-04,.113686837722D-11,.000000000000D+00,.159000000000D+03,.465625000000D+01,.492484799683D-08,.186175538090D+00,.365078449249D-06,.527452270035D-02,.727176666260D-05,.515358979416D+04,.352800000000D+06,.465661287308D-07,.165676901309D+01,.763684511185D-07,.946813960750D+00,.230781250000D+03,.627872664594D+00,-.818998400285D-08,.369658254893D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.107102096081D-07,.159000000000D+03,.345606000000D+06,.000000000000D+00
5,17,17 11 23 02 00 00.0,-.142761971802D-03,.250111042988D-11,.000000000000D+00,.550000000000D+02,-.713125000000D+02,.428624996809D-08,-.578088095050D+00,-.364333391190D-05,.121760012116D-01,.411458313465D-05,.515371649742D+04,.352800000000D+06,-.104308128357D-06,-.370146195309D+00,.143423676491D-06,.981675867655D+00,.314281250000D+03,-.182969909925D+01,-.832106089130D-08,-.196436753808D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.111758708954D-07,.550000000000D+02,.345606000000D+06,.000000000000D+00
6,19,17 11 23 02 00 00.0,-.474089290947D-03,.216004991671D-11,.000000000000D+00,.630000000000D+02,-.840625000000D+02,.415231581776D-08,.240562435477D+01,-.462681055069D-05,.981852086261D-02,.379048287868D-05,.515368909836D+04,.352800000000D+06,.353902578354D-07,-.322755521503D+00,-.117346644402D-06,.979080021927D+00,.315625000000D+03,.109606068326D+01,-.793890211571D-08,-.273582824394D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.153668224812D-07,.630000000000D+02,.345606000000D+06,.000000000000D+00
7,13,17 11 23 02 00 00.0,-.942046754062D-04,-.341060513165D-12,.000000000000D+00,.380000000000D+02,-.218750000000D+01,.449304429619D-08,-.207195966589D+01,-.707805156708D-07,.362952041905D-02,.734254717827D-05,.515365384483D+04,.352800000000D+06,.465661287308D-07,.284005660815D+01,.372529029846D-07,.969217266692D+00,.241281250000D+03,.167365568714D+01,-.786711341114D-08,-.301798285396D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.116415321827D-07,.380000000000D+02,.345606000000D+06,.000000000000D+00
8,24,17 11 23 02 00 00.0,-.425577163696D-04,-.454747350886D-12,.000000000000D+00,.500000000000D+02,.520625000000D+02,.475376944215D-08,-.245889909282D+01,.255182385445D-05,.633225939237D-02,.983290374279D-05,.515367057610D+04,.352800000000D+06,-.167638063431D-07,-.255069126724D+01,-.108033418655D-06,.943810964441D+00,.181906250000D+03,.477274154579D+00,-.799247577584D-08,-.121790787361D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,.279396772385D-08,.500000000000D+02,.345996000000D+06,.000000000000D+00
9,25,17 11 23 02 00 00.0,-.494030769914D-03,-.625277607469D-11,.000000000000D+00,.140000000000D+02,.705000000000D+02,.428946438769D-08,.184949252276D+01,.360608100891D-05,.671719561797D-02,.400468707085D-05,.515372698212D+04,.352800000000D+06,-.225380063057D-06,-.146294642330D+01,-.167638063431D-07,.975642986601D+00,.309156250000D+03,.807319575347D+00,-.810176604250D-08,.146791828755D-09,.100000000000D+01,.197600000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,.558793544769D-08,.140000000000D+02,.346056000000D+06,.000000000000D+00
