,PRN,Epoch_Time_of_Clock,SV_Clock_Bias,SV_Clock_Drift,SV_Clock_Drift_Rate,IODE,Crs,Del_n,M0,Cuc,e,Cus,sqrt_A,Toe,Cic,OMEGA,Cis,i0,Crc,omega,OMEGA_dot,I_dot,Codes,GPS_week,L2_P_Data_flag,SV_accuracy,SV_health,Tgd,IODC,T_Tx,Fit_Interval
0,06,17 11 14 02 00 00.0,.409668777138D-03,.170530256582D-11,.000000000000D+00,.900000000000D+01,.906250000000D+00,.466376569313D-08,-.280913387296D+01,.931322574615D-07,.625698943622D-03,.459142029285D-05,.515377717018D+04,.180000000000D+06,.931322574615D-08,.751493458422D+00,-.596046447754D-07,.968780140919D+00,.297906250000D+03,-.125706098554D+01,-.823570019283D-08,.130719730716D-09,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,.465661287308D-08,.900000000000D+01,.172806000000D+06,.000000000000D+00
1,12,17 11 14 02 00 00.0,.364927574992D-03,-.170530256582D-11,.000000000000D+00,.850000000000D+02,-.640312500000D+02,.389730519555D-08,.196094310360D+01,-.344030559063D-05,.658607296646D-02,.864081084728D-05,.515369415283D+04,.180000000000D+06,-.139698386192D-06,-.127873146023D+01,-.126659870148D-06,.987965202636D+00,.226593750000D+03,.910627421024D+00,-.780532512312D-08,-.426446334630D-09,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.125728547573D-07,.850000000000D+02,.172806000000D+06,.000000000000D+00
2,24,17 11 14 02 00 00.0,-.421982258558D-04,-.454747350886D-12,.000000000000D+00,.160000000000D+02,.499062500000D+02,.530200656414D-08,-.277918520714D+01,.246986746788D-05,.626451603603D-02,.417418777943D-05,.515366468811D+04,.180000000000D+06,-.763684511185D-07,-.242382738006D+01,-.119209289551D-06,.943690386344D+00,.291812500000D+03,.474974596576D+00,-.853999858236D-08,.183579075377D-09,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,.279396772385D-08,.160000000000D+02,.172806000000D+06,.000000000000D+00
3,19,17 11 14 02 00 00.0,-.475750770420D-03,.216004991671D-11,.000000000000D+00,.490000000000D+02,.292187500000D+02,.399980946526D-08,.208889910008D+01,.119395554066D-05,.982645642944D-02,.100992619991D-04,.515368767548D+04,.180000000000D+06,.242143869400D-07,-.196321650316D+00,-.191852450371D-06,.979083936696D+00,.195250000000D+03,.109218879553D+01,-.774067957323D-08,.256796410887D-09,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.153668224812D-07,.490000000000D+02,.172806000000D+06,.000000000000D+00
4,02,17 11 14 02 00 00.0,.281484797597D-03,-.966338120634D-11,.000000000000D+00,.200000000000D+01,.637500000000D+01,.502306637373D-08,-.265426555126D+01,.411644577980D-06,.172687974991D-01,.408664345741D-05,.515361552620D+04,.180000000000D+06,.173225998878D-06,.702826678249D+00,-.838190317154D-07,.948066196683D+00,.292687500000D+03,-.193915443537D+01,-.817748348215D-08,.301798285396D-09,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.204890966415D-07,.200000000000D+01,.172806000000D+06,.000000000000D+00
5,17,17 11 14 02 00 00.0,-.144739169627D-03,.250111042988D-11,.000000000000D+00,.400000000000D+01,.360312500000D+02,.402016745611D-08,-.893863317566D+00,.192038714886D-05,.121341025224D-01,.100154429674D-04,.515371620750D+04,.180000000000D+06,-.633299350739D-07,-.243721256700D+00,.221654772758D-06,.981703614822D+00,.201687500000D+03,-.183257164130D+01,-.799604735318D-08,.253939149013D-09,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.111758708954D-07,.400000000000D+01,.172806000000D+06,.000000000000D+00
6,05,17 11 14 02 00 00.0,-.228178687394D-04,.113686837722D-11,.000000000000D+00,.103000000000D+03,-.689375000000D+02,.485341644999D-08,-.137600778390D+00,-.346451997757D-05,.528763083275D-02,.884383916855D-05,.515358963013D+04,.180000000000D+06,.856816768646D-07,.178367700725D+01,.465661287308D-07,.946892463860D+00,.199687500000D+03,.623103264923D+00,-.832070373357D-08,-.324656380384D-09,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.107102096081D-07,.103000000000D+03,.172806000000D+06,.000000000000D+00
7,28,17 11 14 02 00 00.0,.662359409034D-03,.329691829393D-11,.000000000000D+00,.520000000000D+02,-.498125000000D+02,.407945563999D-08,.265448416535D-01,-.259093940258D-05,.199839289999D-01,.879913568497D-05,.515366367912D+04,.180000000000D+06,-.238418579102D-06,-.125543267287D+01,-.204890966415D-07,.987259428049D+00,.229281250000D+03,-.155343369527D+01,-.822748556494D-08,-.415374444870D-09,.100000000000D+01,.197500000000D+04,.000000000000D+00,.100000000000D+01,.000000000000D+00,-.111758708954D-07,.520000000000D+02,.172806000000D+06,.000000000000D+00
8,13,17 11 14 02 00 00.0,-.939262099564D-04,-.341060513165D-12,.000000000000D+00,.159000000000D+03,.707187500000D+02,.425553440295D-08,-.240199713570D+01,.361725687981D-05,.360506365541D-02,.104289501905D-04,.515366204834D+04,.180000000000D+06,.856816768646D-07,.296650265813D+01,.111758708954D-07,.969423764894D+00,.180375000000D+03,.168111237955D+01,-.783139763772D-08,.340014162955D-09,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.116415321827D-07,.159000000000D+03,.172806000000D+06,.000000000000D+00
9,20,17 11 14 02 00 00.0,.492688734084D-03,.113686837722D-11,.000000000000D+00,.500000000000D+01,-.710937500000D+02,.529986361774D-08,-.192002791671D+01,-.344403088093D-05,.464673817623D-02,.760331749916D-05,.515375559044D+04,.180000000000D+06,.558793544769D-07,.169983817569D+01,.614672899246D-07,.927146260415D+00,.210593750000D+03,.171135691762D+01,-.848213902942D-08,-.309655755548D-09,.100000000000D+01,.197500000000D+04,.000000000000D+00,.000000000000D+00,.000000000000D+00,-.838190317154D-08,.500000000000D+01,.173046000000D+06,.000000000000D+00
