,PRN,Epoch_Time_of_Clock,SV_Clock_Bias,SV_Clock_Drift,SV_Clock_Drift_Rate,IODE,Crs,Del_n,M0,Cuc,e,Cus,sqrt_A,Toe,Cic,OMEGA,Cis,i0,Crc,omega,OMEGA_dot,I_dot,Codes,GPS_week,L2_P_Data_flag,SV_accuracy,SV_health,Tgd,IODC,T_Tx,Fit_Interval
1,5,171101020000,-2.41799280047e-05,1.25055521494e-12,0,33,-66.4375,4.7544837576200005e-09,-0.608435660587,-3.33599746227e-06,0.00526301469654,9.12323594093e-06,5153.58527565,266400,5.02914190292e-08,2.03382805223,7.63684511185e-08,0.9470090028399999,194.0625,0.6192218170279999,-8.26713007344e-09,-3.18584698903e-10,1,1973,0,0,0,-1.07102096081e-08,33,259206,0
12,5,171101040000,-2.41715461016e-05,1.25055521494e-12,0,34,-73.6875,4.74412618333e-09,0.441866741615,-3.6954879760699997e-06,0.0052622940857,9.05804336071e-06,5153.58396912,273600,-4.0978193283099994e-08,2.03376881429,1.32247805595e-07,0.947006742632,197.0,0.619155766277,-8.227842722679999e-09,-3.61800784741e-10,1,1973,0,0,0,-1.07102096081e-08,34,266406,0
24,5,171101060000,-2.41626985371e-05,1.25055521494e-12,0,72,-81.5625,4.77162732886e-09,1.49188224218,-4.10526990891e-06,0.00526247557718,9.68016684055e-06,5153.585989,280800,-6.14672899246e-08,2.03371049067,-7.450580596919999e-08,0.947003487639,189.78125,0.6193772637780001,-8.22177104119e-09,-5.28950604344e-10,1,1973,0,0,0,-1.07102096081e-08,72,273606,0
142,5,171102000000,-2.40826047957e-05,1.25055521494e-12,0,81,-71.0625,4.924133681360001e-09,-1.62308566518,-3.86312603951e-06,0.005263345432470001,8.33719968796e-06,5153.58239365,345600,6.70552253723e-08,2.03317391134,-1.4901161193799999e-08,0.946970156514,205.375,0.620119851235,-8.26320133836e-09,-4.06445501515e-10,1,1973,0,0,0,-1.07102096081e-08,81,342036,0
152,5,171102020000,-2.40737572312e-05,1.25055521494e-12,0,82,-70.40625,4.88127475326e-09,-0.57279641607,-3.54275107384e-06,0.00526398397051,8.12485814095e-06,5153.58337402,352800,3.53902578354e-08,2.03311438813,8.195638656619999e-08,0.9469667084160001,213.125,0.620070173463,-8.35999108433e-09,-4.4216127493500004e-10,1,1973,0,0,0,-1.07102096081e-08,82,345606,0
163,5,171102040000,-2.40653753281e-05,1.25055521494e-12,0,83,-74.71875,4.86805991709e-09,0.477515111815,-3.7532299757e-06,0.005263681639920001,7.97025859356e-06,5153.58283806,360000,-5.5879354476900004e-08,2.0330544026400004,1.15483999252e-07,0.946963530958,217.6875,0.619996853472,-8.332847096529999e-09,-4.8001999476e-10,1,1973,0,0,0,-1.07102096081e-08,83,352806,0
176,5,171102060000,-2.40565277636e-05,1.25055521494e-12,0,84,-80.34375,4.93949146393e-09,1.52771781176,-4.0717422962199995e-06,0.005263352417390001,8.210539817810001e-06,5153.58281326,367200,-4.6566128730800005e-08,2.03299525832,-8.381903171539999e-08,0.94695943625,218.40625,0.620033370833,-8.33606151614e-09,-6.414552906159999e-10,1,1973,0,0,0,-1.07102096081e-08,84,360006,0
292,5,171103000000,-2.39764340222e-05,1.25055521494e-12,0,46,-66.96875,5.08378318855e-09,-1.58676400887,-3.6209821701e-06,0.00526360108051,6.9290399551399996e-06,5153.579656600001,432000,6.14672899246e-08,2.03245108937,-3.72529029846e-09,0.9469206864759999,232.21875,0.620318326794,-8.37392023596e-09,-4.6323358125200004e-10,1,1973,0,0,0,-1.07102096081e-08,46,428196,0
294,5,171103020000,-2.39675864577e-05,1.25055521494e-12,0,47,-65.625,5.04342436458e-09,-0.536495145531,-3.2875686883900002e-06,0.005264092585999999,6.81728124619e-06,5153.58033562,439200,2.23517417908e-08,2.03239075278,7.82310962677e-08,0.9469168989810001,238.09375,0.620291874309,-8.45928093443e-09,-4.90734726785e-10,1,1973,0,0,0,-1.07102096081e-08,47,432006,0
306,5,171103040000,-2.39587388933e-05,1.25055521494e-12,0,93,-65.90625,5.02342353147e-09,0.513809964533,-3.29315662384e-06,0.00526430807076,6.6254287958099995e-06,5153.58075523,446400,-5.5879354476900004e-08,2.03232997292,9.126961231230001e-08,0.9469133528679999,243.28125,0.620227791183,-8.443208836399999e-09,-5.20378818724e-10,1,1973,0,0,0,-1.07102096081e-08,93,439206,0
319,5,171103060000,-2.39498913288e-05,1.25055521494e-12,0,97,-67.5625,5.130213693990001e-09,1.5641895473700003,-3.4421682357800004e-06,0.005263655446470001,6.55278563499e-06,5153.57894516,453600,-3.53902578354e-08,2.03226981334,-5.960464477540001e-08,0.946909100165,250.46875,0.620090371973,-8.45035199108e-09,-6.43598237021e-10,1,1973,0,0,0,-1.07102096081e-08,97,446406,0
