,PRN,Epoch_Time_of_Clock,SV_Clock_Bias,SV_Clock_Drift,SV_Clock_Drift_Rate,IODE,Crs,Del_n,M0,Cuc,e,Cus,sqrt_A,Toe,Cic,OMEGA,Cis,i0,Crc,omega,OMEGA_dot,I_dot,Codes,GPS_week,L2_P_Data_flag,SV_accuracy,SV_health,Tgd,IODC,T_Tx,Fit_Interval
80,1,171101140000,-7.67456367612e-06,-2.38742359215e-12,0,30,20.71875,4.87484591404e-09,2.75563657825,1.01327896118e-06,0.0070940352743500005,3.87243926525e-06,5153.67019653,309600,-8.94069671631e-08,1.0093728597,-6.14672899246e-08,0.968711908956,309.375,0.63272009924,-8.2667729157e-09,2.2393789934099997e-10,1,1973,0,0,0,5.58793544769e-09,30,302466,0
88,1,171101160000,-7.69132748246e-06,-2.38742359215e-12,0,31,16.8125,4.91699052668e-09,-2.47738129409,7.264316082e-07,0.00709456193727,3.84263694286e-06,5153.66918755,316800,3.35276126862e-08,1.0093125596799999,-1.32247805595e-07,0.9687134757420001,310.125,0.632738922607,-8.350704983239999e-09,3.04655547269e-10,1,1973,0,0,0,5.58793544769e-09,31,309606,0
101,1,171101180000,-7.70855695009e-06,-2.38742359215e-12,0,32,13.84375,4.87484591404e-09,-1.42713945816,7.022172212600001e-07,0.007094540167600001,3.7644058466e-06,5153.66988754,324000,1.15483999252e-07,1.00925244691,-8.381903171539999e-08,0.9687157125429999,308.625,0.632683379997,-8.380706232909999e-09,2.97155234851e-10,1,1973,0,0,0,5.58793544769e-09,32,316806,0
109,1,171101200000,-7.725320756439999e-06,-2.38742359215e-12,0,33,12.28125,4.87520307178e-09,-0.37692427951800006,7.69272446632e-07,0.00709462445229,3.89851629734e-06,5153.67030525,331200,7.63684511185e-08,1.00919191575,4.28408384323e-08,0.968717212035,309.375,0.632653644724,-8.492139445980001e-09,2.58225041824e-10,1,1973,0,0,0,5.58793544769e-09,33,324006,0
124,1,171101220000,-7.742084562780001e-06,-2.38742359215e-12,0,34,23.03125,4.75305512668e-09,0.673209214163,1.14925205708e-06,0.00709612155333,3.98606061935e-06,5153.67324066,338400,-9.31322574615e-09,1.00913133192,9.313225746150001e-08,0.968719093347,307.4375,0.632704348001,-8.43142263117e-09,2.0000833115000002e-10,1,1973,0,0,0,5.58793544769e-09,34,331206,0
135,1,171102000000,-7.759314030410001e-06,-2.38742359215e-12,0,69,29.0,4.7416260791900006e-09,1.72347762985,1.42678618431e-06,0.00709622702561,3.90969216824e-06,5153.67224121,345600,-1.210719347e-07,1.00907040139,8.56816768646e-08,0.9687207186489999,308.28125,0.632618838977,-8.38927801853e-09,2.54653464482e-10,1,1973,0,1,0,5.58793544769e-09,69,338406,0
218,1,171102120000,-7.857568562030001e-06,-2.38742359215e-12,0,73,40.03125,4.91949063082e-09,1.7415583478799999,2.08988785744e-06,0.00709870201536,4.51132655144e-06,5153.67212868,388800,-1.97440385818e-07,1.00870849593,1.4528632164e-07,0.968731389174,297.03125,0.632462477904,-8.39749264642e-09,3.48228790841e-10,1,1973,0,0,0,5.58793544769e-09,73,387756,0
221,1,171102140000,-7.87433236837e-06,-2.38742359215e-12,0,74,46.5625,4.85198781905e-09,2.79191362579,2.36369669437e-06,0.00709954684135,4.93414700031e-06,5153.66936874,396000,-9.685754776e-08,1.0086484519299999,-8.381903171539999e-08,0.9687351079109999,288.65625,0.632292946179,-8.18891252965e-09,4.16445918073e-10,1,1973,0,0,0,5.58793544769e-09,74,388806,0
233,1,171102160000,-7.89109617472e-06,-2.38742359215e-12,0,75,43.84375,4.89056085435e-09,-2.4411020214500003,2.1178275346799998e-06,0.0070999214658499996,4.8987567424800004e-06,5153.66863632,403200,5.21540641785e-08,1.00858859224,-1.52736902237e-07,0.968738083487,289.53125,0.6323098370310001,-8.282130698270001e-09,5.12878506306e-10,1,1973,0,0,0,5.58793544769e-09,75,396006,0
244,1,171102180000,-7.907859981060001e-06,-2.38742359215e-12,0,76,41.75,4.866274128419999e-09,-1.39090920497,2.15135514736e-06,0.00710008526221,4.69386577606e-06,5153.66860771,410400,1.49011611938e-07,1.00852901783,-9.126961231230001e-08,0.9687417846690001,290.9375,0.632303762995,-8.32034657583e-09,4.96806408267e-10,1,1973,0,0,0,5.58793544769e-09,76,403206,0
261,1,171102200000,-7.92508944869e-06,-2.38742359215e-12,0,77,38.53125,4.86484549748e-09,-0.340656830181,2.13272869587e-06,0.007100329734390001,4.75533306599e-06,5153.66959381,417600,9.313225746150001e-08,1.00846886118,5.21540641785e-08,0.968744628582,293.375,0.632237298238,-8.44856620241e-09,4.54304637897e-10,1,1973,0,0,0,5.58793544769e-09,77,410406,0
278,1,171102220000,-7.94185325503e-06,-2.38742359215e-12,0,78,47.28125,4.74019744825e-09,0.7094650874289999,2.41585075855e-06,0.00710155733395,4.919245839119999e-06,5153.67206573,424800,-2.23517417908e-08,1.00840879083,1.11758708954e-07,0.9687479099070001,289.59375,0.632300101311,-8.36892002768e-09,3.7501562090599996e-10,1,1973,0,0,0,5.58793544769e-09,78,417606,0
369,1,171103120000,-8.05873423815e-06,-2.38742359215e-12,0,43,53.625,4.82627246219e-09,1.77754211692,2.8107315301900004e-06,0.00710492231883,6.10202550888e-06,5153.6734581,475200,-2.32830643654e-07,1.00799067275,1.26659870148e-07,0.968769994119,266.28125,0.632327658299,-8.28498796015e-09,5.23236080597e-10,1,1973,0,0,0,5.58793544769e-09,43,474846,0
378,1,171103140000,-8.07549804449e-06,-2.38742359215e-12,0,44,58.1875,4.74555481426e-09,2.82789784102,2.98768281937e-06,0.007106038625350001,6.6552311182e-06,5153.67034912,482400,-8.754432201389999e-08,1.00793155185,-1.0989606380499999e-07,0.968775105555,255.40625,0.632156071175,-8.04783522464e-09,5.9073889236e-10,1,1973,0,0,0,5.58793544769e-09,44,475206,0
388,1,171103160000,-8.09272751212e-06,-2.38742359215e-12,0,81,55.84375,4.77805616808e-09,-2.40510515051,2.73622572422e-06,0.0071063713403399995,6.6831707954400004e-06,5153.66972733,489600,8.56816768646e-08,1.00787264891,-1.6205012798299998e-07,0.968779367035,254.875,0.632159048213,-8.14319633967e-09,6.993148435560001e-10,1,1973,0,0,0,5.58793544769e-09,81,482406,0
402,1,171103180000,-8.10949131846e-06,-2.38742359215e-12,0,82,56.03125,4.76626996285e-09,-1.35495491959,2.8870999813099998e-06,0.007106543984260001,6.44288957119e-06,5153.66918182,496800,1.80676579475e-07,1.00781406197,-7.82310962677e-08,0.968784437509,257.34375,0.632194183117,-8.18391232137e-09,6.8860011153e-10,1,1973,0,0,0,5.58793544769e-09,82,489606,0
413,1,171103200000,-8.12625512481e-06,-2.38742359215e-12,0,84,53.28125,4.76841290925e-09,-0.304693626844,2.8852373361599997e-06,0.00710695306771,6.44102692604e-06,5153.67046547,504000,1.00582838058e-07,1.00775481525,7.450580596919999e-08,0.968788571715,261.40625,0.63211772224,-8.331061307860001e-09,6.45384025692e-10,1,1973,0,0,0,5.58793544769e-09,84,496806,0
426,1,171103220000,-8.14301893115e-06,-2.38742359215e-12,0,101,58.9375,4.64769359509e-09,0.7454378348440001,3.01748514175e-06,0.0071077774046,6.580725312230001e-06,5153.67217255,511200,-5.5879354476900004e-08,1.00769578358,1.30385160446e-07,0.968793197462,257.84375,0.6321698855100001,-8.23534303509e-09,5.40379651839e-10,1,1973,0,1,0,5.58793544769e-09,101,504006,0
522,1,171104120000,-8.25943425298e-06,-2.38742359215e-12,0,87,50.84375,4.67448042516e-09,1.81326428695,2.6747584343e-06,0.00711106765084,8.096918463710001e-06,5153.67560768,561600,-2.4959444999699996e-07,1.00728564864,8.754432201389999e-08,0.968822979549,227.90625,0.632434575667,-8.12605276843e-09,6.37169397806e-10,1,1973,0,0,0,5.58793544769e-09,87,561006,0
525,1,171104140000,-8.27619805932e-06,-2.38742359215e-12,0,88,51.3125,4.57697636372e-09,2.8635645094,2.6505440473599997e-06,0.00711216079071,8.61659646034e-06,5153.67303467,568800,-6.51925802231e-08,1.00722775805,-1.28522515297e-07,0.968828929237,217.78125,0.632315592151,-7.8781853009e-09,6.957432662139999e-10,1,1973,0,0,0,5.58793544769e-09,88,561606,0
541,1,171104160000,-8.292961865660001e-06,-2.38742359215e-12,0,89,47.40625,4.60626329793e-09,-2.36942829437,2.3040920496e-06,0.007112683262680001,8.71904194355e-06,5153.67211533,576000,1.19209289551e-07,1.00717010152,-1.50874257088e-07,0.968833982156,215.46875,0.632305794989,-7.966760418979999e-09,8.09319425688e-10,1,1973,0,0,0,5.58793544769e-09,89,568806,0
553,1,171104180000,-8.31019133329e-06,-2.38742359215e-12,0,90,48.5625,4.58769109575e-09,-1.3192613861799998,2.50339508057e-06,0.00711264973506,8.61659646034e-06,5153.67193222,583200,1.95577740669e-07,1.00711274343,-4.842877388e-08,0.9688398952700001,215.40625,0.632321250718,-8.00390482333e-09,8.10748056625e-10,1,1973,0,0,0,5.58793544769e-09,90,576006,0
569,1,171104200000,-8.326955139639999e-06,-2.38742359215e-12,0,91,48.25,4.59947730098e-09,-0.26902988576299997,2.60397791862e-06,0.007113089202899999,8.627772331239999e-06,5153.6729908,590400,8.94069671631e-08,1.0070547255600002,1.00582838058e-07,0.968844857489,219.53125,0.632271905028,-8.16355433052e-09,7.70032074927e-10,1,1973,0,0,0,5.58793544769e-09,91,583206,0
