,PRN,Epoch_Time_of_Clock,SV_Clock_Bias,SV_Clock_Drift,SV_Clock_Drift_Rate,IODE,Crs,Del_n,M0,Cuc,e,Cus,sqrt_A,Toe,Cic,OMEGA,Cis,i0,Crc,omega,OMEGA_dot,I_dot,Codes,GPS_week,L2_P_Data_flag,SV_accuracy,SV_health,Tgd,IODC,T_Tx,Fit_Interval
60,31,171101100000,0.000165028031915,-2.50111042988e-12,0,24,27.03125,4.844844664370001e-09,-0.21589776759100002,1.4249235391600001e-06,0.008696445031090001,2.7809292078e-06,5153.53998566,295200,1.24797224998e-07,-2.1059583809099998,-5.960464477540001e-08,0.9652683051279999,323.46875,-0.230779189108,-8.5810717218e-09,1.4214877821e-10,1,1973,0,0,0,-1.35041773319e-08,24,291396,0
71,31,171101120000,0.000165009871125,-2.50111042988e-12,0,25,30.5,4.78377069182e-09,0.834330328613,1.6279518604299999e-06,0.008696767501530001,2.70269811153e-06,5153.54076195,302400,1.63912773132e-07,-2.10601986443,8.00937414169e-08,0.965269532516,325.75,-0.230742535696,-8.50964017496e-09,1.07504477993e-10,1,1973,0,0,0,-1.35041773319e-08,25,295206,0
79,31,171101140000,0.00016499171033500001,-2.50111042988e-12,0,26,33.84375,4.7919853197099995e-09,1.88455585447,1.97626650333e-06,0.008696982637049998,2.94111669064e-06,5153.54146767,309600,-2.79396772385e-08,-2.10607996988,9.126961231230001e-08,0.96527002552,325.71875,-0.230704874333,-8.41749347953e-09,-1.92865176466e-11,1,1973,0,0,0,-1.35041773319e-08,26,302406,0
90,31,171101160000,0.00016497354954499998,-2.50111042988e-12,0,27,32.25,4.82662961993e-09,2.9348135060100002,1.66147947311e-06,0.008696789387610001,3.0547380447400003e-06,5153.54180717,316800,-9.126961231230001e-08,-2.10614073072,4.28408384323e-08,0.9652701674230001,326.53125,-0.230698444808,-8.37034865862e-09,2.3929568191100003e-11,1,1973,0,0,0,-1.35041773319e-08,27,309606,0
204,31,171102100000,0.00016481243073900002,-2.50111042988e-12,0,70,57.0,4.81127183736e-09,-0.17935646291700003,3.00630927086e-06,0.00869462371338,2.62074172497e-06,5153.54242897,381600,1.02445483208e-07,-2.10669399756,-5.02914190292e-08,0.965280808689,326.4375,-0.23052210905099998,-8.60428697452e-09,3.0965575554800003e-10,1,1973,0,0,0,-1.35041773319e-08,70,377526,0
214,31,171102120000,0.00016479473561000003,-2.50111042988e-12,0,71,62.9375,4.75162649574e-09,0.870850834981,3.32295894623e-06,0.008694905322049999,2.5629997253400003e-06,5153.54325676,388800,1.32247805595e-07,-2.10675562591,7.450580596919999e-08,0.965283257614,328.09375,-0.230466200711,-8.53142679674e-09,2.77154401736e-10,1,1973,0,0,0,-1.35041773319e-08,71,381606,0
225,31,171102140000,0.00016477657482,-2.50111042988e-12,0,72,68.625,4.76984154019e-09,1.92106549575,3.7644058466e-06,0.00869529379997,2.76789069176e-06,5153.54415131,396000,-2.23517417908e-08,-2.10681614683,6.89178705215e-08,0.965285001412,329.125,-0.230419583363,-8.46249535404e-09,1.7536444749e-10,1,1973,0,0,0,-1.35041773319e-08,72,388806,0
238,31,171102160000,0.00016475841403,-2.50111042988e-12,0,73,68.03125,4.81127183736e-09,2.97134978995,3.50549817085e-06,0.008695180877110001,2.75298953056e-06,5153.54408836,403200,-7.450580596919999e-08,-2.10687720465,2.421438694e-08,0.965286518458,332.34375,-0.230441290142,-8.420350741410001e-09,2.12508851847e-10,1,1973,0,0,0,-1.35041773319e-08,73,396006,0
355,31,171103100000,0.00016459543258000002,-2.50111042988e-12,0,38,88.96875,4.70198157069e-09,-0.14274828533,4.69759106636e-06,0.008694624295459998,3.23913991451e-06,5153.54608917,468000,8.00937414169e-08,-2.10742980732,-5.5879354476900004e-08,0.965307945819,314.71875,-0.230356603277,-8.55785646907e-09,4.3394664704800007e-10,1,1973,0,0,0,-1.35041773319e-08,38,463686,0
363,31,171103120000,0.000164577271789,-2.50111042988e-12,0,39,97.0625,4.64447917549e-09,0.9074444141079999,5.12227416039e-06,0.00869464653078,3.2912939786900004e-06,5153.54655838,475200,1.17346644402e-07,-2.10749101289,6.33299350739e-08,0.9653113573440001,313.75,-0.230288786784,-8.469638508730001e-09,4.0108813550199996e-10,1,1973,0,0,0,-1.35041773319e-08,39,468006,0
376,31,171103140000,0.00016455957666,-2.50111042988e-12,0,40,108.4375,4.64805075283e-09,1.9575727115000001,5.8151781559e-06,0.008695304160940002,3.6284327507e-06,5153.5488472,482400,0.0,-2.10755133778,5.5879354476900004e-08,0.96531403741,312.21875,-0.23015922636999997,-8.420350741410001e-09,3.26442169055e-10,1,1973,0,0,0,-1.35041773319e-08,40,475206,0
389,31,171103160000,0.00016454141587,-2.50111042988e-12,0,41,111.09375,4.7066246212399995e-09,3.0079031578500004,5.71087002754e-06,0.008695484371860001,3.4570693969699995e-06,5153.54787827,489600,-4.842877388e-08,-2.10761207667,1.8626451492299998e-08,0.965316639941,318.59375,-0.230230290541,-8.38213486385e-09,3.61800784741e-10,1,1973,0,0,0,-1.35041773319e-08,41,482406,0
508,31,171104100000,0.00016437750309700002,-2.50111042988e-12,0,58,114.65625,4.53840332843e-09,-0.106342304967,6.06663525105e-06,0.00869708519895,4.55230474472e-06,5153.55031967,554400,7.07805156708e-08,-2.1081585702,-6.89178705215e-08,0.965344625564,289.9375,-0.23002854828699998,-8.447851886939999e-09,4.75734101949e-10,1,1973,0,0,0,-1.35041773319e-08,58,549846,0
515,31,171104120000,0.000164359342307,-2.50111042988e-12,0,59,123.1875,4.48340103736e-09,0.9438546647299999,6.5173953771599996e-06,0.008696631644850001,4.79444861412e-06,5153.54995346,561600,1.22934579849e-07,-2.1082188117099996,6.70552253723e-08,0.9653484496320001,284.6875,-0.229968371151,-8.32891836145e-09,4.3644675118800003e-10,1,1973,0,0,0,-1.35041773319e-08,59,554406,0
527,31,171104140000,0.000164341181517,-2.50111042988e-12,0,60,141.34375,4.4455423175399995e-09,1.99382821904,7.5176358223e-06,0.008697482757270001,5.48921525478e-06,5153.55469894,568800,2.04890966415e-08,-2.10827824422,6.14672899246e-08,0.965351400338,275.84375,-0.229688301337,-8.28855953749e-09,3.7608709410800004e-10,1,1973,0,0,0,-1.35041773319e-08,60,561606,0
538,31,171104160000,0.00016432302072599998,-2.50111042988e-12,0,61,149.34375,4.5301887005400005e-09,3.0442109105799995,7.655471563339999e-06,0.008698185090909999,5.20423054695e-06,5153.55243683,576000,-3.1664967536900005e-08,-2.10833802051,2.9802322387700004e-08,0.965354372987,284.375,-0.229816003845,-8.25141513313e-09,4.12160025262e-10,1,1973,0,0,0,-1.35041773319e-08,61,568806,0
659,31,171105100000,0.00016416376456600002,-2.50111042988e-12,0,54,126.90625,4.36161025e-09,-0.0703696204571,6.72228634357e-06,0.00870157021564,6.2435865402199996e-06,5153.55419922,36000,7.63684511185e-08,-2.2292894145599997,-7.82310962677e-08,0.965382022139,258.09375,-0.22931335397,-8.30106005819e-09,4.1716023354099996e-10,1,1974,0,0,0,-1.35041773319e-08,54,31206,0
667,31,171105120000,0.000164145603776,-2.50111042988e-12,0,55,133.1875,4.31089385175e-09,0.9798560970419999,7.076188921930001e-06,0.00870055286214,6.69434666634e-06,5153.55268478,43200,1.39698386192e-07,-2.2293483745400002,9.313225746150001e-08,0.965385546309,248.28125,-0.229285246925,-8.14462497061e-09,3.6501520434800005e-10,1,1974,0,0,0,-1.35041773319e-08,55,36006,0
679,31,171105140000,0.000164127908647,-2.50111042988e-12,0,83,155.40625,4.22231873367e-09,2.0296659288799996,8.257105946539999e-06,0.0087013579905,7.8659504652e-06,5153.55999947,50400,1.67638063431e-08,-2.22940639095,7.63684511185e-08,0.9653879308650001,229.59375,-0.22884532112599998,-8.09890878063e-09,2.93226499775e-10,1,1974,0,0,0,-1.35041773319e-08,83,43206,0
694,31,171105160000,0.000164109747857,-2.50111042988e-12,0,88,169.0625,4.333394789e-09,3.0800841824900003,8.64267349243e-06,0.008702674764209998,7.5846910476699995e-06,5153.55646896,57600,-3.53902578354e-08,-2.2294647921,4.28408384323e-08,0.965390315422,237.6875,-0.229012958372,-8.06069290307e-09,3.29299430929e-10,1,1974,0,0,0,-1.35041773319e-08,88,50406,0
807,31,171106100000,0.000163945835084,-2.50111042988e-12,0,17,122.3125,4.220532945e-09,-0.034857604462,6.4875930547699995e-06,0.00870668678544,7.86408782005e-06,5153.55692863,122400,9.49949026108e-08,-2.22998925994,-7.63684511185e-08,0.965410165757,227.65625,-0.228178095894,-8.1571254913e-09,2.73582824394e-10,1,1974,0,0,0,-1.35041773319e-08,17,117396,0
815,31,171106120000,0.00016392813995500002,-2.50111042988e-12,0,18,124.125,4.17624538595e-09,1.01541371073,6.63660466671e-06,0.008705229614860002,8.445233106610001e-06,5153.55434608,129600,1.50874257088e-07,-2.23004698083,1.37835741043e-07,0.96541272879,215.0,-0.228198148112,-7.97033199632e-09,2.0536569716299997e-10,1,1974,0,0,0,-1.35041773319e-08,18,122406,0
826,31,171106140000,0.000163909979165,-2.50111042988e-12,0,62,145.03125,4.055168914060001e-09,2.06513330539,7.7411532402e-06,0.00870573311113,9.98377799988e-06,5153.5630455,136800,-1.11758708954e-08,-2.23010349774,8.754432201389999e-08,0.965413837681,188.75,-0.227670381397,-7.91175812791e-09,9.857553463809999e-11,1,1974,0,0,0,-1.35041773319e-08,62,129606,0
837,31,171106160000,0.000163891818374,-2.50111042988e-12,0,63,162.09375,4.183031382900001e-09,3.11555262254,8.26828181744e-06,0.00870750716422,9.82731580734e-06,5153.55879593,144000,-5.7741999626199995e-08,-2.2301605413099996,4.6566128730800005e-08,0.965414809059,193.65625,-0.22784206507399998,-7.87318509262e-09,1.3179120391799997e-10,1,1974,0,0,0,-1.35041773319e-08,63,136806,0
954,31,171107100000,0.00016373395919799997,-2.50111042988e-12,0,4,102.65625,4.151601502300001e-09,0.00041621628565,5.4482370615e-06,0.008710962138139999,8.98540019989e-06,5153.55799866,208800,1.13621354103e-07,-2.23067564501,-6.14672899246e-08,0.965421684774,206.625,-0.226828053647,-8.053549748389999e-09,8.57178562071e-11,1,1974,0,0,0,-1.35041773319e-08,4,203556,0
962,31,171107120000,0.000163715798408,-2.50111042988e-12,0,5,99.625,4.114099940199999e-09,1.05073130784,5.373731255530001e-06,0.00870938238222,9.55164432526e-06,5153.55487442,216000,1.4528632164e-07,-2.23073251156,1.78813934326e-07,0.965422891681,194.15625,-0.22689318568599998,-7.85568436364e-09,5.00020827875e-12,1,1974,0,0,0,-1.35041773319e-08,5,208806,0
973,31,171107140000,0.00016369810327899998,-2.50111042988e-12,0,6,114.375,3.99980946526e-09,2.10048362212,6.1709433794e-06,0.00870948366355,1.11479312181e-05,5153.56300545,223200,-4.842877388e-08,-2.230787962,8.00937414169e-08,0.9654224147700001,166.90625,-0.226398502864,-7.78853870961e-09,-1.41434462742e-10,1,1974,0,0,0,-1.35041773319e-08,6,216006,0
989,31,171107160000,0.00016367994248899997,-2.50111042988e-12,0,7,131.0,4.1276719341e-09,-3.13231496903,6.66826963425e-06,0.008711357833819999,1.11665576696e-05,5153.55887604,230400,-8.00937414169e-08,-2.2308440985599995,3.53902578354e-08,0.965421624794,167.4375,-0.226538299315,-7.75246577846e-09,-1.1429047494299999e-10,1,1974,0,0,0,-1.35041773319e-08,7,223206,0
