,Epoch_Time_of_Clock,PRN,SV_Clock_Bias,SV_Clock_Drift,Crs,Del_n,M0,Cuc,e,Cus,sqrt_A,Toe,Cic,OMEGA,Cis,i0,Crc,omega,OMEGA_dot,I_dot
0,2017-11-01 05:54:00,2,0.000291520264,-9.54969436862E-12,26.96875,5.07306845652E-09,2.14755341509,1.16974115372E-06,0.0172153791646,3.83891165257E-06,5153.60665894,345600,1.11758708954E-07,0.952303989478,-3.94880771637E-07,0.947756593478,295.3125,-1.94309086265,-8.35677666472E-09,3.45014371233E-10
1,2017-11-01 05:54:01,2,0.000291519689675,-9.54969436862E-12,27.0825153282,5.07296076994E-09,2.05711071182,1.18038635254E-06,0.0172153592701,3.84028593334E-06,5153.60669007,345660.000078,1.11111113984E-07,0.95230349846,-3.9123531108E-07,0.947756606481,295.267463667,-1.94309027073,-8.35648914512E-09,3.43516866393E-10
2,2017-11-01 05:54:02,2,0.000291519115351,-9.54969436862E-12,27.1952079687,5.07284570426E-09,1.96762834065,1.19092451073E-06,0.0172153396289,3.84160386666E-06,5153.60672094,345720.000154,1.10499515818E-07,0.952303007417,-3.87632449031E-07,0.947756619727,295.223838873,-1.94308968698,-8.35617841959E-09,3.42048895485E-10
3,2017-11-01 05:54:03,2,0.000291518541027,-9.54969436862E-12,27.3068344008,5.07272337611E-09,1.87910189823,1.20135624844E-06,0.0172153202395,3.84286596625E-06,5153.60675157,345780.000228,1.09923607613E-07,0.952302516349,-3.84071877519E-07,0.947756633212,295.18161465,-1.94308911132,-8.35584476985E-09,3.40610257219E-10
4,2017-11-01 05:54:04,2,0.000291517966703,-9.54969436862E-12,27.4174011039,5.07259390209E-09,1.79152698121,1.21168218581E-06,0.0172153011007,3.84407274584E-06,5153.60678194,345840.0003,1.09383082528E-07,0.952302025254,-3.80553288575E-07,0.947756646934,295.140780029,-1.94308854369,-8.3554884776E-09,3.39200750307E-10
5,2017-11-01 05:54:05,2,0.000291517392379,-9.54969436862E-12,27.5269145573,5.07245739882E-09,1.70489918623,1.22190294299E-06,0.0172152822111,3.84522471916E-06,5153.60681206,345900.00037,1.0887763372E-07,0.952301534134,-3.77076374229E-07,0.947756660892,295.101324042,-1.94308798403,-8.35510982457E-09,3.37820173459E-10
6,2017-11-01 05:54:06,2,0.000291516818055,-9.54969436862E-12,27.6353812403,5.07231398293E-09,1.61921410992,1.23201914013E-06,0.0172152635694,3.84632239993E-06,5153.60684193,345960.000438,1.08406954348E-07,0.952301042989,-3.73640826512E-07,0.947756675083,295.063235722,-1.94308743227,-8.35470909245E-09,3.36468325389E-10
7,2017-11-01 05:54:07,2,0.000291516243732,-9.54969436862E-12,27.7428076322,5.07216377103E-09,1.53446734895,1.24203139738E-06,0.0172152451742,3.84736630188E-06,5153.60687155,346020.000504,1.07970737568E-07,0.952300551818,-3.70246337454E-07,0.947756689506,295.0265041,-1.94308688835,-8.35428656297E-09,3.35145004807E-10
8,2017-11-01 05:54:08,2,0.000291515669409,-9.54969436862E-12,27.8492002123,5.07200687972E-09,1.45065449994,1.25194033488E-06,0.0172152270242,3.84835693873E-06,5153.60690091,346080.000569,1.07568676541E-07,0.95230006062,-3.66892599084E-07,0.947756704158,294.991118209,-1.9430863522,-8.35384251784E-09,3.33850010424E-10
9,2017-11-01 05:54:09,2,0.000291515095086,-9.54969436862E-12,27.95456546,5.07184342564E-09,1.36777115955,1.26174657279E-06,0.0172152091181,3.84929482421E-06,5153.60693003,346140.000631,1.07200464422E-07,0.952299569397,-3.63579303434E-07,0.947756719038,294.957067079,-1.94308582376,-8.35337723876E-09,3.32583140952E-10
10,2017-11-01 05:54:10,2,0.000291514520763,-9.54969436862E-12,28.0589098545,5.0716735254E-09,1.28581292442,1.27145073124E-06,0.0172151914545,3.85018047205E-06,5153.6069589,346200.000692,1.0686579437E-07,0.952299078148,-3.60306142534E-07,0.947756734143,294.924339744,-1.94308530295,-8.35289100746E-09,3.31344195103E-10
11,2017-11-01 05:54:11,2,0.000291513946441,-9.54969436862E-12,28.1622398752,5.07149729561E-09,1.2047753912,1.2810534304E-06,0.0172151740321,3.85101439598E-06,5153.60698752,346260.000751,1.06564359544E-07,0.952298586873,-3.57072808415E-07,0.94775674947,294.892925235,-1.94308478973,-8.35238410565E-09,3.30132971587E-10
12,2017-11-01 05:54:12,2,0.000291513372119,-9.54969436862E-12,28.2645620013,5.07131485289E-09,1.12465415652,1.2905552904E-06,0.0172151568496,3.85179710971E-06,5153.60701589,346320.000809,1.062958531E-07,0.952298095572,-3.53878993105E-07,0.947756765019,294.862812583,-1.94308428401,-8.35185681503E-09,3.28949269116E-10
13,2017-11-01 05:54:13,2,0.000291512797797,-9.54969436862E-12,28.3658827123,5.07112631386E-09,1.04544481703,1.2999569314E-06,0.0172151399057,3.85252912698E-06,5153.60704401,346380.000864,1.06059968198E-07,0.952297604245,-3.50724388637E-07,0.947756780787,294.833990821,-1.94308378575,-8.35130941733E-09,3.27792886402E-10
14,2017-11-01 05:54:14,2,0.000291512223475,-9.54969436862E-12,28.4662084873,5.07093179513E-09,0.967142969377,1.30925897354E-06,0.0172151231989,3.85321096151E-06,5153.60707189,346440.000918,1.05856397994E-07,0.952297112891,-3.47608687039E-07,0.947756796772,294.806448981,-1.94308329486,-8.35074219425E-09,3.26663622156E-10
15,2017-11-01 05:54:15,2,0.000291511649153,-9.54969436862E-12,28.5655458058,5.07073141333E-09,0.889744210204,1.31846203697E-06,0.017215106728,3.85384312703E-06,5153.60709951,346500.00097,1.05684835647E-07,0.952296621511,-3.44531580343E-07,0.947756812972,294.780176095,-1.9430828113,-8.35015542751E-09,3.25561275089E-10
16,2017-11-01 05:54:16,2,0.000291511074832,-9.54969436862E-12,28.663901147,5.07052528506E-09,0.813244136156,1.32756674183E-06,0.0172150904916,3.85442613726E-06,5153.60712689,346560.00102,1.05544974315E-07,0.952296130105,-3.41492760579E-07,0.947756829385,294.755161194,-1.94308233498,-8.34954939881E-09,3.24485643914E-10
17,2017-11-01 05:54:17,2,0.00029151050051,-9.54969436862E-12,28.7612809903,5.07031352694E-09,0.737638343876,1.33657370828E-06,0.0172150744884,3.85496050593E-06,5153.60715402,346620.001068,1.05436507156E-07,0.952295638672,-3.38491919777E-07,0.947756846009,294.731393311,-1.94308186585,-8.34892438988E-09,3.2343652734E-10
18,2017-11-01 05:54:18,2,0.000291509926189,-9.54969436862E-12,28.8576918149,5.0700962556E-09,0.662922430009,1.34548355647E-06,0.017215058717,3.85544674677E-06,5153.60718091,346680.001115,1.05359127327E-07,0.952295147213,-3.35528749968E-07,0.947756862841,294.708861477,-1.94308140385,-8.34828068243E-09,3.2241372408E-10
19,2017-11-01 05:54:19,2,0.000291509351868,-9.54969436862E-12,28.9531401002,5.06987358764E-09,0.589091991198,1.35429690653E-06,0.0172150431762,3.8558853735E-06,5153.60720755,346740.00116,1.05312527987E-07,0.952294655727,-3.32602943181E-07,0.94775687988,294.687554724,-1.9430809489,-8.34761855816E-09,3.21417032845E-10
20,2017-11-01 05:54:20,2,0.000291508777548,-9.54969436862E-12,29.0476323255,5.06964563969E-09,0.516142624089,1.36301437863E-06,0.0172150278646,3.85627689985E-06,5153.60723394,346800.001204,1.05296402294E-07,0.952294164215,-3.29714191448E-07,0.947756897124,294.667462085,-1.94308050094,-8.34693829879E-09,3.20446252347E-10
21,2017-11-01 05:54:21,2,0.000291508203227,-9.54969436862E-12,29.14117497,5.06941252836E-09,0.444069925324,1.3716365929E-06,0.0172150127808,3.85662183954E-06,5153.60726008,346860.001246,1.05310443405E-07,0.952293672676,-3.26862186797E-07,0.947756914571,294.648572591,-1.94308005991,-8.34624018604E-09,3.19501181297E-10
22,2017-11-01 05:54:22,2,0.000291507628907,-9.54969436862E-12,29.2337745132,5.06917437026E-09,0.372869491549,1.3801641695E-06,0.0172149979235,3.85692070631E-06,5153.60728598,346920.001286,1.05354344478E-07,0.95229318111,-3.24046621261E-07,0.947756932217,294.630875273,-1.94307962574,-8.34552450161E-09,3.18581618406E-10
23,2017-11-01 05:54:23,2,0.000291507054587,-9.54969436862E-12,29.3254374344,5.06893128202E-09,0.302536919407,1.38859772857E-06,0.0172149832915,3.85717401387E-06,5153.60731163,346980.001325,1.05427798672E-07,0.952292689517,-3.21267186869E-07,0.947756950063,294.614359165,-1.94307919838,-8.34479152722E-09,3.17687362385E-10
24,2017-11-01 05:54:24,2,0.000291506480267,-9.54969436862E-12,29.4161702128,5.06868338025E-09,0.233067805543,1.39693789025E-06,0.0172149688832,3.85738227596E-06,5153.60733704,347040.001362,1.05530499144E-07,0.952292197898,-3.18523575651E-07,0.947756968104,294.599013298,-1.94307877774,-8.34404154459E-09,3.16818211947E-10
25,2017-11-01 05:54:25,2,0.000291505905947,-9.54969436862E-12,29.5059793277,5.06843078157E-09,0.1644577466,1.40518527471E-06,0.0172149546975,3.8575460063E-06,5153.60736221,347100.001397,1.05662139052E-07,0.952291706251,-3.15815479638E-07,0.947756986341,294.584826703,-1.94307836377,-8.34327483542E-09,3.15973965803E-10
26,2017-11-01 05:54:26,2,0.000291505331628,-9.54969436862E-12,29.5948712585,5.06817360259E-09,0.0967023392239,1.41334050208E-06,0.017214940733,3.85766571861E-06,5153.60738713,347160.001431,1.05822411554E-07,0.952291214578,-3.1314259086E-07,0.947757004769,294.571788413,-1.9430779564,-8.34249168142E-09,3.15154422663E-10
27,2017-11-01 05:54:27,2,0.000291504757308,-9.54969436862E-12,29.6828524845,5.06791195993E-09,0.0297971800575,1.42140419252E-06,0.0172149269883,3.85774192662E-06,5153.6074118,347220.001463,1.06011009809E-07,0.952290722877,-3.10504601348E-07,0.947757023387,294.55988746,-1.94307755557,-8.34169236432E-09,3.1435938124E-10
28,2017-11-01 05:54:28,2,0.000291504182989,-9.54969436862E-12,29.769929485,5.06764597021E-09,-0.0362621342545,1.42937696617E-06,0.0172149134621,3.85777514406E-06,5153.60743623,347280.001494,1.06227626974E-07,0.952290231149,-3.07901203131E-07,0.947757042194,294.549112876,-1.94307716122,-8.34087716582E-09,3.13588640245E-10
29,2017-11-01 05:54:29,2,0.00029150360867,-9.54969436862E-12,29.8561087393,5.06737575004E-09,-0.101480007068,1.43725944317E-06,0.0172149001531,3.85776588466E-06,5153.60746042,347340.001524,1.06471956206E-07,0.952289739394,-3.0533208824E-07,0.947757061187,294.539453691,-1.94307677327,-8.34004636763E-09,3.12841998389E-10
30,2017-11-01 05:54:30,2,0.000291503034351,-9.54969436862E-12,29.9413967268,5.06710141604E-09,-0.165860841739,1.44505224369E-06,0.0172148870599,3.85771466214E-06,5153.60748437,347400.001551,1.06743690665E-07,0.952289247612,-3.02796948706E-07,0.947757080364,294.53089894,-1.94307639166,-8.33920025147E-09,3.12119254383E-10
31,2017-11-01 05:54:31,2,0.000291502460033,-9.54969436862E-12,30.0257999267,5.06682308483E-09,-0.229409041623,1.45275598786E-06,0.0172148741813,3.85762199022E-06,5153.60750807,347460.001578,1.07042523507E-07,0.952288755802,-3.00295476559E-07,0.947757099723,294.523437652,-1.94307601634,-8.33833909906E-09,3.1142020694E-10
32,2017-11-01 05:54:32,2,0.000291501885714,-9.54969436862E-12,30.1093248183,5.06654087303E-09,-0.292129010076,1.46037129583E-06,0.0172148615158,3.85748838264E-06,5153.60753153,347520.001603,1.07368147892E-07,0.952288263965,-2.97827363829E-07,0.947757119262,294.517058861,-1.94307564722,-8.3374631921E-09,3.1074465477E-10
33,2017-11-01 05:54:33,2,0.000291501311396,-9.54969436862E-12,30.191977881,5.06625489724E-09,-0.354025150454,1.46789878775E-06,0.0172148490621,3.85731435311E-06,5153.60755475,347580.001626,1.07720256976E-07,0.9522877721,-2.95392302546E-07,0.947757138978,294.511751598,-1.94307528425,-8.3365728123E-09,3.10092396585E-10
34,2017-11-01 05:54:34,2,0.000291500737078,-9.54969436862E-12,30.2737655941,5.0659652741E-09,-0.415101866112,1.47533908377E-06,0.017214836819,3.85710041537E-06,5153.60757772,347640.001648,1.08098543918E-07,0.952287280208,-2.92989984741E-07,0.947757158871,294.507504895,-1.94307492737,-8.33566824138E-09,3.09463231097E-10
35,2017-11-01 05:54:35,2,0.00029150016276,-9.54969436862E-12,30.3546944369,5.0656721202E-09,-0.475363560407,1.48269280404E-06,0.017214824785,3.85684708315E-06,5153.60760046,347700.001669,1.08502701875E-07,0.952286788288,-2.90620102443E-07,0.947757178937,294.504307784,-1.9430745765,-8.33474976106E-09,3.08856957016E-10
36,2017-11-01 05:54:36,2,0.000291499588442,-9.54969436862E-12,30.4347708887,5.06537555218E-09,-0.534814636694,1.4899605687E-06,0.0172148129588,3.85655487016E-06,5153.60762295,347760.001688,1.08932424006E-07,0.952286296341,-2.88282347685E-07,0.947757199175,294.502149296,-1.94307423159,-8.33381765304E-09,3.08273373054E-10
37,2017-11-01 05:54:37,2,0.000291499014124,-9.54969436862E-12,30.5140014289,5.06507568664E-09,-0.593459498329,1.4971429979E-06,0.0172148013391,3.85622429013E-06,5153.6076452,347820.001706,1.09387403469E-07,0.952285804365,-2.85976412495E-07,0.947757219582,294.501018465,-1.94307389257,-8.33287219904E-09,3.07712277923E-10
38,2017-11-01 05:54:38,2,0.000291498439807,-9.54969436862E-12,30.5923925367,5.06477264021E-09,-0.651302548668,1.50424071179E-06,0.0172147899246,3.8558558568E-06,5153.60766722,347880.001722,1.09867333421E-07,0.952285312362,-2.83701988904E-07,0.947757240157,294.500904321,-1.94307355937,-8.33191368077E-09,3.07173470334E-10
39,2017-11-01 05:54:39,2,0.000291497865489,-9.54969436862E-12,30.6699506914,5.0644665295E-09,-0.708348191067,1.51125433052E-06,0.0172147787139,3.85545008388E-06,5153.60768899,347940.001737,1.1037190702E-07,0.952284820331,-2.81458768942E-07,0.947757260898,294.501795897,-1.94307323192,-8.33094237994E-09,3.06656748998E-10
40,2017-11-01 05:54:40,2,0.000291497291172,-9.54969436862E-12,30.7466823724,5.06415747113E-09,-0.764600828881,1.51818447423E-06,0.0172147677058,3.8550074851E-06,5153.60771052,348000.001751,1.10900817425E-07,0.952284328272,-2.79246444641E-07,0.947757281802,294.503682225,-1.94307291017,-8.32995857827E-09,3.06161912628E-10
