,Unnamed: 0,PRN,Epoch_Time_of_Clock,SV_Clock_Bias,SV_Clock_Drift,SV_Clock_Drift_Rate,IODE,Crs,Del_n,M0,Cuc,e,Cus,sqrt_A,Toe,Cic,OMEGA,Cis,i0,Crc,omega,OMEGA_dot,I_dot,Codes,GPS_week,L2_P_Data_flag,SV_accuracy,SV_health,Tgd,IODC,T_Tx,Fit_Interval
0,9,28,2017-11-01 02:00:00,0.0006587640382350001,3.0695446184799998e-12,0,90,-59.96875,4.02766776853e-09,-0.435817020911,-3.11061739922e-06,0.0199698162032,9.82731580734e-06,5153.662530899999,266400,-2.51457095146e-07,-1.00560404626,8.00937414169e-08,0.987449686397,209.03125,-1.55683822456,-8.17748348215e-09,-3.56443418728e-10,1,1973,0,2,0,-1.11758708954e-08,90,259206,0
1,106,28,2017-11-01 18:00:00,0.0006589340046050001,3.0695446184799998e-12,0,36,-96.78125,3.75015620906e-09,1.68231765288,-5.27314841747e-06,0.019974889583,9.59262251854e-06,5153.66562271,324000,2.0489096641500002e-07,-1.00605655022,-4.898756742479999e-07,0.987428749114,207.125,-1.55670487812,-7.73353641855e-09,-4.56447584303e-10,1,1973,0,1,0,-1.11758708954e-08,36,321816,0
2,110,28,2017-11-01 20:00:00,0.000658955890685,3.0695446184799998e-12,0,37,-92.90625,3.6669384569899997e-09,2.73249503996,-4.7143548727e-06,0.0199743903941,9.652227163310001e-06,5153.6662426,331200,2.57045030594e-07,-1.00610967171,-7.07805156708e-08,0.987426067585,202.28125,-1.5567027056799998,-7.426737924869999e-09,-5.88595945955e-10,1,1973,0,1,0,-1.11758708954e-08,37,324006,0
3,125,28,2017-11-01 22:00:00,0.000658978242427,3.0695446184799998e-12,0,62,-83.03125,3.75015620906e-09,-2.50054196588,-4.24683094025e-06,0.0199766193982,8.97794961929e-06,5153.66205788,338400,2.30967998505e-07,-1.00616379675,1.02445483208e-07,0.987422383957,217.15625,-1.55667022597,-7.41780898152e-09,-4.5930484617599986e-10,1,1973,0,1,0,-1.11758708954e-08,62,331206,0
4,138,28,2017-11-02 00:00:00,0.000659000128508,3.0695446184799998e-12,0,63,-81.25,3.95195032888e-09,-1.45031910985,-4.04007732868e-06,0.0199768031016,8.735805749889999e-06,5153.66327667,345600,-1.26659870148e-07,-1.00621752242,5.34579157829e-07,0.987416498638,226.03125,-1.55671037576,-7.91247244338e-09,-5.83595737676e-10,1,1973,0,2,0,-1.11758708954e-08,63,338406,0
5,148,28,2017-11-02 01:59:44,0.0006590331904590001,3.18323145621e-12,0,38,-87.40625,4.10802825872e-09,-0.402478697836,-4.57093119621e-06,0.0199760207906,8.60542058945e-06,5153.66207886,352784,-2.58907675743e-07,-1.0062772914,5.960464477540001e-08,0.987411502772,232.03125,-1.55670029479,-8.28605943335e-09,-4.3037506970600003e-10,1,1973,0,0,0,-1.11758708954e-08,38,345606,0
6,254,28,2017-11-02 18:00:00,0.0006592180579899999,3.18323145621e-12,0,68,-121.53125,3.86516099947e-09,1.71793538958,-6.5993517637300004e-06,0.0199800245464,7.18794763088e-06,5153.66480827,410400,2.421438694e-07,-1.00673750055,-4.48897480965e-07,0.987386630239,254.25,-1.5564980112600002,-7.87711382769e-09,-5.08592613495e-10,1,1973,0,1,0,-1.11758708954e-08,68,407976,0
7,256,28,2017-11-02 20:00:00,0.0006592413410540001,3.18323145621e-12,0,69,-123.71875,3.83444543433e-09,2.76814910676,-6.2678009271599995e-06,0.0199799637776,7.3853880167e-06,5153.66396904,417600,2.60770320892e-07,-1.0067917909100002,-4.842877388e-08,0.987383460096,247.03125,-1.55653007257,-7.59460205995e-09,-6.37169397806e-10,1,1973,0,2,0,-1.11758708954e-08,69,410406,0
8,271,28,2017-11-02 22:00:00,0.000659264624119,3.18323145621e-12,0,96,-112.59375,3.86873257681e-09,-2.4648915241900005,-5.71645796299e-06,0.0199812598294,7.0370733737899995e-06,5153.66141129,424800,2.1420419216199999e-07,-1.0068471448,1.24797224998e-07,0.987379469255,254.0625,-1.55649222688,-7.57817280417e-09,-5.01092301077e-10,1,1973,0,2,0,-1.11758708954e-08,96,417606,0
9,284,28,2017-11-03 00:00:00,0.000659287441522,3.18323145621e-12,0,98,-103.375,4.1062424700499995e-09,-1.4147131335499998,-5.15952706337e-06,0.0199819988338,7.003545761110001e-06,5153.66066742,432000,-1.80676579475e-07,-1.00690214906,5.085021257399999e-07,0.987373301593,258.71875,-1.55648569056,-8.07319342377e-09,-6.096682522730001e-10,1,1973,0,2,0,-1.11758708954e-08,98,424806,0
