,Unnamed: 0,PRN,Epoch_Time_of_Clock,SV_Clock_Bias,SV_Clock_Drift,SV_Clock_Drift_Rate,IODE,Crs,Del_n,M0,Cuc,e,Cus,sqrt_A,Toe,Cic,OMEGA,Cis,i0,Crc,omega,OMEGA_dot,I_dot,Codes,GPS_week,L2_P_Data_flag,SV_accuracy,SV_health,Tgd,IODC,T_Tx,Fit_Interval
0,48,14,2017-11-01 08:00:00,-8.75741243362e-05,-9.094947017730001e-13,0,72,69.3125,4.28767859902e-09,1.4928982621899998,3.61725687981e-06,0.00928764557466,1.04010105133e-05,5153.71589851,288000,-2.45869159698e-07,-3.1076714746900005,-1.32247805595e-07,0.962066855203,178.4375,-1.94968141978,-8.044263647300001e-09,3.5322899912e-10,1,1973,0,0,0,-9.77888703346e-09,72,285066,0
1,52,14,2017-11-01 10:00:00,-8.75806435943e-05,-9.094947017730001e-13,0,95,69.4375,4.1830313829000015e-09,2.54323195621,3.6209821701e-06,0.00928830751218,1.09542161226e-05,5153.71254158,295200,8.381903171539999e-08,-3.10772805305,-1.26659870148e-07,0.962070875302,165.40625,-1.94986093739,-7.72353600199e-09,3.51086052715e-10,1,1973,0,0,0,-9.77888703346e-09,95,288006,0
2,66,14,2017-11-01 12:00:00,-8.7586697191e-05,-9.094947017730001e-13,0,99,80.59375,4.1608876033799995e-09,-2.68981342045,4.26545739174e-06,0.00928631948773,1.15483999252e-05,5153.71624756,302400,1.15483999252e-07,-3.1077837726700004,-7.07805156708e-08,0.962073447112,156.25,-1.94984730006,-7.7267504216e-09,3.80730144653e-10,1,1973,0,0,0,-9.77888703346e-09,99,295206,0
3,77,14,2017-11-01 14:00:00,-8.759321644899999e-05,-9.094947017730001e-13,0,103,87.375,4.32196574151e-09,-1.63974860785,4.4871121645e-06,0.00928697665222,1.1483207345e-05,5153.71430397,309600,2.99885869026e-07,-3.10783888519,1.08033418655e-07,0.96207538109,160.4375,-1.9497590744,-7.880328247300001e-09,2.52153360342e-10,1,1973,0,0,0,-9.77888703346e-09,103,302406,0
4,86,14,2017-11-01 16:00:00,-8.75992700458e-05,-9.094947017730001e-13,0,104,86.4375,4.45732852277e-09,-0.589463885011,4.4871121645e-06,0.00928739039227,1.10566616058e-05,5153.71670723,316800,-3.35276126862e-08,-3.10789692061,1.4156103134200002e-07,0.962075704395,169.78125,-1.94988954914,-8.204270312219999e-09,2.48581783e-10,1,1973,0,0,0,-9.77888703346e-09,104,309606,0
5,192,14,2017-11-02 08:00:00,-8.76500271261e-05,-9.094947017730001e-13,0,29,68.75,4.15803034151e-09,1.52848704042,3.5986304283099997e-06,0.00928569957614,1.17160379887e-05,5153.71894836,374400,-2.25380063057e-07,-3.10835673185,-1.52736902237e-07,0.96209315847,153.34375,-1.94980064175,-7.95783147562e-09,2.45724521127e-10,1,1973,0,0,0,-9.77888703346e-09,29,371286,0
6,193,14,2017-11-02 10:00:00,-8.76560807228e-05,-9.094947017730001e-13,0,31,66.4375,4.06695511929e-09,2.57883779792,3.48687171936e-06,0.0092866118066,1.23456120491e-05,5153.71508408,381600,9.49949026108e-08,-3.10841263727,-1.0617077350599999e-07,0.962096333003,138.65625,-1.94999994971,-7.64353266953e-09,2.3322400043e-10,1,1973,0,0,0,-9.77888703346e-09,31,374406,0
7,208,14,2017-11-02 12:00:00,-8.76625999808e-05,-9.094947017730001e-13,0,32,79.09375,4.0169530365e-09,-2.6541923351400003,4.19095158577e-06,0.00928398640826,1.31987035275e-05,5153.71996117,388800,9.49949026108e-08,-3.1084676093400003,-6.70552253723e-08,0.962098015358,124.3125,-1.95000432384,-7.63496088391e-09,2.39295681911e-10,1,1973,0,0,0,-9.77888703346e-09,32,381606,0
8,220,14,2017-11-02 14:00:00,-8.76686535776e-05,-9.094947017730001e-13,0,33,87.65625,4.19231748399e-09,-1.60415194156,4.4796615839e-06,0.00928457744885,1.32247805595e-05,5153.71778297,396000,2.84984707832e-07,-3.10852204745,1.24797224998e-07,0.962098815575,126.59375,-1.94989505995,-7.80246786125e-09,1.00361323309e-10,1,1973,0,0,0,-9.77888703346e-09,33,388806,0
9,231,14,2017-11-02 16:00:00,-8.76747071743e-05,-9.094947017730001e-13,0,34,88.75,4.3073222744e-09,-0.553834869217,4.57838177681e-06,0.009285275591540002,1.26603990793e-05,5153.72097778,403200,-3.72529029846e-08,-3.10857954891,1.30385160446e-07,0.962098133855,138.78125,-1.95006114943,-8.11390940547e-09,1.03932900651e-10,1,1973,0,0,0,-9.77888703346e-09,34,396006,0
10,343,14,2017-11-03 08:00:00,-8.77236016095e-05,-9.094947017730001e-13,0,74,60.34375,4.06481217289e-09,1.5641198905200002,3.16090881824e-06,0.00928140990436,1.27013772726e-05,5153.72076988,460800,-1.97440385818e-07,-3.10903426481,-1.6205012798299998e-07,0.962105477704,134.65625,-1.94999538395,-7.87497088129e-09,6.178828801590001e-11,1,1973,0,0,0,-9.77888703346e-09,74,457446,0
11,345,14,2017-11-03 10:00:00,-8.77301208675e-05,-9.094947017730001e-13,0,112,55.59375,3.9865946291e-09,2.61446678445,2.93552875519e-06,0.00928249792196,1.33160501719e-05,5153.71678352,468000,1.00582838058e-07,-3.10908956457,-7.63684511185e-08,0.962107217113,120.0625,-1.95019267747,-7.575315542300001e-09,3.89301930274e-11,1,1973,0,0,0,-9.77888703346e-09,112,460806,0
12,359,14,2017-11-03 12:00:00,-8.77361744642e-05,-9.094947017730001e-13,0,123,66.5,3.92552065655e-09,-2.6185450080000003,3.54461371899e-06,0.00927982165013,1.42771750689e-05,5153.721759800002,475200,5.21540641785e-08,-3.10914376276,-7.07805156708e-08,0.96210741607,103.65625,-1.95021708772,-7.55067165864e-09,3.57157734196e-12,1,1973,0,0,0,-9.77888703346e-09,123,468006,0
13,372,14,2017-11-03 14:00:00,-8.7742228061e-05,-9.094947017730001e-13,0,124,75.40625,4.113028467e-09,-1.5685121440600005,3.83518636227e-06,0.0092802986037,1.43814831972e-05,5153.71960258,482400,2.58907675743e-07,-3.10919757328,1.26659870148e-07,0.962106355454,104.0625,-1.9501021755,-7.73639368042e-09,-1.52506352502e-10,1,1973,0,0,0,-9.77888703346e-09,124,475206,0
14,386,14,2017-11-03 16:00:00,-8.774874731899999e-05,-9.094947017730001e-13,0,125,78.84375,4.2130326325800005e-09,-0.518178198419,4.04566526413e-06,0.00928124366328,1.37388706207e-05,5153.72330475,489600,-4.656612873080001e-08,-3.1092546066000004,1.00582838058e-07,0.962103954806,117.75,-1.95028690402,-8.0328345998e-09,-1.40720147273e-10,1,1973,0,0,0,-9.77888703346e-09,125,482406,0
