,Unnamed: 0,PRN,Epoch_Time_of_Clock,SV_Clock_Bias,SV_Clock_Drift,SV_Clock_Drift_Rate,IODE,Crs,Del_n,M0,Cuc,e,Cus,sqrt_A,Toe,Cic,OMEGA,Cis,i0,Crc,omega,OMEGA_dot,I_dot,Codes,GPS_week,L2_P_Data_flag,SV_accuracy,SV_health,Tgd,IODC,T_Tx,Fit_Interval
0,2,13,2017-11-01 02:00:00,-9.3440990895e-05,-4.54747350886e-13,0,68,80.34375,4.30196490839e-09,-2.88684273106,4.02517616749e-06,0.00357432605233,9.8031014204e-06,5153.6621685,266400,1.67638063431e-08,-3.0670069471200003,2.04890966415e-08,0.96952498127,193.84375,1.69965955339,-7.88247119371e-09,4.0430255511e-10,1,1973,0,0,0,-1.1641532182700001e-08,68,259206,0
1,19,13,2017-11-01 04:00:00,-9.344425052399998e-05,-4.54747350886e-13,0,88,72.71875,4.218032840860001e-09,-1.83649503984,3.87616455555e-06,0.0035734927514600007,9.90368425846e-06,5153.66404533,273600,3.72529029846e-09,-3.06706368786,3.91155481339e-08,0.969527844201,193.0625,1.69949712999,-7.895328872139999e-09,4.01802450971e-10,1,1973,0,0,0,-1.1641532182700001e-08,88,266406,0
2,30,13,2017-11-01 06:00:00,-9.34470444918e-05,-4.54747350886e-13,0,89,72.65625,4.2444625131899995e-09,-0.7864439976809999,3.7960708141300003e-06,0.00357357703615,1.0222196579e-05,5153.66321945,280800,-2.79396772385e-08,-3.06712100791,-3.53902578354e-08,0.969530495008,188.59375,1.69963144196,-7.97176062726e-09,4.2787496556699993e-10,1,1973,0,0,0,-1.1641532182700001e-08,89,273606,0
3,41,13,2017-11-01 08:00:00,-9.34503041208e-05,-4.54747350886e-13,0,91,79.4375,4.1651734961900014e-09,0.263935153593,4.08291816711e-06,0.00357529695611,1.07139348984e-05,5153.6667099,288000,3.72529029846e-09,-3.06717846987,-4.47034835815e-08,0.969533612487,176.8125,1.69943597416,-7.98176104381e-09,4.3037506970600003e-10,1,1973,0,0,0,-1.1641532182700001e-08,91,280806,0
4,129,13,2017-11-01 21:59:44,-9.34698618948e-05,-4.54747350886e-13,0,20,91.4375,4.29982196199e-09,1.33034701658,4.770234227180001e-06,0.00357489124872,1.17514282465e-05,5153.6656971,338384,1.86264514923e-09,-3.0675771267500003,-6.70552253723e-08,0.969549869895,156.625,1.69879050105,-7.9199727558e-09,4.14660129402e-10,1,1973,0,0,0,-1.1641532182700001e-08,20,331326,0
5,139,13,2017-11-02 00:00:00,-9.34726558626e-05,-4.54747350886e-13,0,21,92.71875,4.18053127877e-09,2.38274584037,4.68082726002e-06,0.003574875881900001,1.16843730211e-05,5153.66645432,345600,4.842877388e-08,-3.06763354565,4.47034835815e-08,0.969553206811,159.84375,1.6989086785,-7.80746806953e-09,3.75729936374e-10,1,1973,0,0,0,-1.1641532182700001e-08,21,338406,0
6,153,13,2017-11-02 02:00:00,-9.34754498303e-05,-4.54747350886e-13,0,22,86.875,4.17695970142e-09,-2.85010525931,4.3623149395e-06,0.0035759138409,1.12038105726e-05,5153.66432762,352800,9.31322574615e-09,-3.06768946131,3.72529029846e-09,0.9695557479,166.96875,1.6987582290799998,-7.7946103911e-09,3.32156692802e-10,1,1973,0,0,0,-1.1641532182700001e-08,22,346536,0
7,164,13,2017-11-02 04:00:00,-9.347824379799998e-05,-4.54747350886e-13,0,23,75.4375,4.08731311014e-09,-1.79964708705,4.01586294174e-06,0.00357471813913,1.12485140562e-05,5153.66721153,360000,9.31322574615e-09,-3.0677455583599995,4.28408384323e-08,0.969557965684,167.59375,1.6984826987,-7.826040271699999e-09,3.16798910232e-10,1,1973,0,0,0,-1.1641532182700001e-08,23,352806,0
8,177,13,2017-11-02 06:00:00,-9.3481503427e-05,-4.54747350886e-13,0,24,73.71875,4.11802867528e-09,-0.749682264898,3.8538128137599995e-06,0.0035747293150100007,1.16433948278e-05,5153.66582489,367200,-2.04890966415e-08,-3.0678023181200005,-1.86264514923e-08,0.969560045953,161.34375,1.6987005754799998,-7.889614348389999e-09,3.37514058815e-10,1,1973,0,0,0,-1.1641532182700001e-08,24,360006,0
9,187,13,2017-11-02 08:00:00,-9.34842973948e-05,-4.54747350886e-13,0,25,81.09375,4.0065954622100014e-09,0.300736392478,4.1797757148699985e-06,0.00357737438753,1.24741345644e-05,5153.67107201,374400,-1.86264514923e-09,-3.06785907056,-4.28408384323e-08,0.969562450991,142.65625,1.69846237731,-7.8949717144e-09,3.22513433979e-10,1,1973,0,0,0,-1.1641532182700001e-08,25,367206,0
10,268,13,2017-11-02 20:00:00,-9.35015268624e-05,-4.54747350886e-13,0,69,77.15625,4.1419582434699996e-09,0.319183476393,4.1238963604e-06,0.00357931072358,1.32825225592e-05,5153.67230606,417600,3.72529029846e-09,-3.06819600986,3.53902578354e-08,0.96957031125,126.875,1.69791463591,-7.91961559806e-09,1.98222542479e-10,1,1973,0,1,0,-1.1641532182700001e-08,69,417276,0
11,273,13,2017-11-02 22:00:00,-9.35047864914e-05,-4.54747350886e-13,0,72,90.28125,4.16267339206e-09,1.3697485865,4.7031790018099995e-06,0.00357799115591,1.34836882353e-05,5153.66870499,424800,1.86264514923e-09,-3.0682530797500003,-8.00937414169e-08,0.969572313984,122.84375,1.69753009619,-7.81925427475e-09,2.48224625266e-10,1,1973,0,1,0,-1.1641532182700001e-08,72,417606,0
12,286,13,2017-11-02 23:59:44,-9.35080461204e-05,-4.54747350886e-13,0,31,92.15625,4.03695386962e-09,2.4174064161,4.63053584099e-06,0.00357799464837,1.32974237204e-05,5153.66988754,431984,4.28408384323e-08,-3.06830852435,2.9802322387700004e-08,0.969574419123,128.40625,1.69771867218,-7.7121069545e-09,2.10008747707e-10,1,1973,0,0,0,-1.1641532182700001e-08,31,424806,0
13,302,13,2017-11-03 02:00:00,-9.35108400881e-05,-4.54747350886e-13,0,32,84.46875,4.07409827397e-09,-2.81304015828,4.2337924242e-06,0.00358013971709,1.24145299196e-05,5153.66564941,439200,1.86264514923e-08,-3.0683639353,-7.45058059692e-09,0.969575795729,143.75,1.69749522315,-7.70424948434e-09,1.73221501085e-10,1,1973,0,0,0,-1.1641532182700001e-08,32,432006,0
14,309,13,2017-11-03 04:00:00,-9.35136340559e-05,-4.54747350886e-13,0,34,69.96875,3.98302305175e-09,-1.7624665003400002,3.7252902984599998e-06,0.00357867695857,1.23511999846e-05,5153.66944122,446400,1.67638063431e-08,-3.0684193798900004,5.5879354476900004e-08,0.969576746626,146.78125,1.6971023565,-7.757108829e-09,1.47863301957e-10,1,1973,0,0,0,-1.1641532182700001e-08,34,439206,0
15,321,13,2017-11-03 06:00:00,-9.35164280236e-05,-3.41060513165e-13,0,35,66.0,4.01731019424e-09,-0.7125765678910001,3.45334410667e-06,0.0035785472719,1.27758830786e-05,5153.66751862,453600,-2.421438694e-08,-3.0684755618,1.4901161193799999e-08,0.96957765071,139.625,1.69739314219,-7.80639659632e-09,1.5929234945100005e-10,1,1973,0,0,0,-1.1641532182700001e-08,35,446406,0
16,332,13,2017-11-03 08:00:00,-9.35192219913e-05,-3.41060513165e-13,0,70,71.96875,3.88551899032e-09,0.337831923667,3.71783971786e-06,0.00358179176692,1.38375908136e-05,5153.67385292,460800,-2.23517417908e-08,-3.06853146868,-5.5879354476900004e-08,0.969578619161,116.34375,1.69716286279,-7.80639659632e-09,1.0214711198e-10,1,1973,0,0,0,-1.1641532182700001e-08,70,453606,0
