,Unnamed: 0,PRN,Epoch_Time_of_Clock,SV_Clock_Bias,SV_Clock_Drift,SV_Clock_Drift_Rate,IODE,Crs,Del_n,M0,Cuc,e,Cus,sqrt_A,Toe,Cic,OMEGA,Cis,i0,Crc,omega,OMEGA_dot,I_dot,Codes,GPS_week,L2_P_Data_flag,SV_accuracy,SV_health,Tgd,IODC,T_Tx,Fit_Interval
0,82,22,2017-11-01 14:00:00,-0.000174483284354,-1.2732925824799999e-11,0,69,-86.625,5.43129766392e-09,-1.97859640816,-4.42191958427e-06,0.007160281063989998,8.322298526760001e-06,5153.68854332,309600,1.4528632164e-07,2.00060715028,5.960464477540001e-08,0.923943457291,195.09375,-1.66337429742,-8.45749514576e-09,-5.35736601294e-10,1,1973,0,0,0,-1.76951289177e-08,69,305136,0
1,89,22,2017-11-01 16:00:00,-0.000174575485289,-1.2732925824799999e-11,0,70,-82.28125,5.580946754550001e-09,-0.928583039074,-4.23192977905e-06,0.007160452893,8.94814729691e-06,5153.68634415,316800,-1.13621354103e-07,2.00054526007,6.14672899246e-08,0.923938383891,186.625,-1.66320764033,-8.728935023749999e-09,-5.34665128092e-10,1,1973,0,0,0,-1.76951289177e-08,70,309606,0
2,103,22,2017-11-01 18:00:00,-0.000174667220563,-1.2732925824799999e-11,0,71,-78.4375,5.6316631528e-09,0.121654321791,-4.01586294174e-06,0.007160348934120001,8.82893800735e-06,5153.68645477,324000,-4.0978193283099994e-08,2.0004818411,9.31322574615e-09,0.923934615414,191.46875,-1.66326441179,-8.78000857974e-09,-4.87520307178e-10,1,1973,0,0,0,-1.76951289177e-08,71,316806,0
3,116,22,2017-11-01 20:00:00,-0.00017475942149800002,-1.2732925824799999e-11,0,72,-74.5625,5.653806932320001e-09,1.17187622839,-3.94694507122e-06,0.0071592272725,8.4675848484e-06,5153.68442917,331200,-1.4156103134200002e-07,2.00041831974,-8.195638656619999e-08,0.923931556452,200.875,-1.66330350535,-8.69429072354e-09,-4.13588656199e-10,1,1973,0,0,0,-1.76951289177e-08,72,324036,0
4,228,22,2017-11-02 14:00:00,-0.000175585504621,-1.2732925824799999e-11,0,37,-78.65625,5.62130557851e-09,-1.94327882715,-4.01213765144e-06,0.00716080225538,6.69062137604e-06,5153.68323517,396000,1.50874257088e-07,1.99986330325,7.264316082e-08,0.923897913725,226.84375,-1.6628872203,-8.588572034209999e-09,-6.043108862599998e-10,1,1973,0,0,0,-1.76951289177e-08,37,390036,0
5,234,22,2017-11-02 16:00:00,-0.00017567723989500006,-1.2732925824799999e-11,0,38,-76.1875,5.7673830918000016e-09,-0.893247089658,-3.919005393980001e-06,0.00716085697059,7.2848051786399995e-06,5153.68120575,403200,-1.0617077350599999e-07,1.99980041386,5.960464477540001e-08,0.923892380969,218.90625,-1.6627344697100002,-8.85679749259e-09,-5.982392047780002e-10,1,1973,0,0,0,-1.76951289177e-08,38,396006,0
6,247,22,2017-11-02 18:00:00,-0.00017576944083000002,-1.2732925824799999e-11,0,39,-73.375,5.81417075498e-09,0.1569746765,-3.74764204025e-06,0.0071608664002299986,7.28853046894e-06,5153.68139267,410400,-3.91155481339e-08,1.9997361508,2.04890966415e-08,0.923888158987,221.28125,-1.66277099146,-8.90001357843e-09,-5.564517498769998e-10,1,1973,0,0,0,-1.76951289177e-08,39,403206,0
7,264,22,2017-11-02 20:00:00,-0.000175861176103,-1.2732925824799999e-11,0,40,-71.21875,5.81202780857e-09,1.20717815911,-3.7811696529400002e-06,0.00716022599954,7.0929527282699995e-06,5153.68030357,417600,-1.50874257088e-07,1.9996717312,-9.126961231230001e-08,0.923884707964,227.09375,-1.66278776089,-8.79715215098e-09,-4.70376735936e-10,1,1973,0,0,0,-1.76951289177e-08,40,410436,0
8,381,22,2017-11-03 14:00:00,-0.00017668819055,-1.2732925824799999e-11,0,48,-58.59375,5.80702760029e-09,-1.908207603,-2.96905636787e-06,0.007163136964659998,5.10364770889e-06,5153.67769051,482400,1.37835741043e-07,1.99910876082,9.87201929092e-08,0.92385031476,257.625,-1.6621032454299998,-8.69429072354e-09,-5.475228065230002e-10,1,1973,0,0,0,-1.76951289177e-08,48,477426,0
9,384,22,2017-11-03 16:00:00,-0.00017678039148400005,-1.2732925824799999e-11,0,49,-57.59375,5.94774774757e-09,-0.858160153769,-2.95415520668e-06,0.00716309982818,5.66989183426e-06,5153.67578506,489600,-1.13621354103e-07,1.99904506537,5.960464477540001e-08,0.923845238434,250.25,-1.66196158961,-8.95823028911e-09,-5.34665128092e-10,1,1973,0,0,0,-1.76951289177e-08,49,482406,0
