,Unnamed: 0,PRN,Epoch_Time_of_Clock,SV_Clock_Bias,SV_Clock_Drift,SV_Clock_Drift_Rate,IODE,Crs,Del_n,M0,Cuc,e,Cus,sqrt_A,Toe,Cic,OMEGA,Cis,i0,Crc,omega,OMEGA_dot,I_dot,Codes,GPS_week,L2_P_Data_flag,SV_accuracy,SV_health,Tgd,IODC,T_Tx,Fit_Interval
0,22,15,2017-11-01 04:00:00,-0.0003569591790440001,-2.27373675443e-13,0,25,57.625,5.03770984084e-09,-1.13141247754,3.0547380447400007e-06,0.00983064563479,1.04308128357e-05,5153.64414024,273600,2.1234154701199998e-07,3.02211866783,-1.67638063431e-08,0.929180720107,156.78125,0.625188719014,-8.29820279631e-09,3.04298389535e-10,1,1973,0,0,0,-1.07102096081e-08,25,268866,0
1,27,15,2017-11-01 06:00:00,-0.0003569605760280001,-2.27373675443e-13,0,26,52.3125,5.08128308441e-09,-0.0812285380547,2.88151204586e-06,0.00982977391686,1.09635293484e-05,5153.6425724,280800,8.381903171539999e-08,3.02205843657,9.685754776e-08,0.929182228375,151.03125,0.625207597972,-8.43106547343e-09,2.78225874939e-10,1,1973,0,0,0,-1.07102096081e-08,26,273606,0
2,39,15,2017-11-01 08:00:00,-0.000356961973011,-2.27373675443e-13,0,67,62.90625,4.97485007962e-09,0.968797371168,3.49432229996e-06,0.0098319244571,1.1932104826e-05,5153.64772987,288000,-7.264316082e-08,3.02199867636,8.94069671631e-08,0.929184048245,132.8125,0.625384137074,-8.35499087605e-09,1.68578450541e-10,1,1973,0,0,0,-1.07102096081e-08,67,280806,0
3,53,15,2017-11-01 10:00:00,-0.00035696336999500004,-2.27373675443e-13,0,72,67.4375,4.99806533234e-09,2.01899560483,3.4458935260800005e-06,0.00983266439289,1.25169754028e-05,5153.64786911,295200,-1.63912773132e-07,3.02193827394,-9.31322574615e-09,0.929185613568,122.71875,0.6253853249629999,-8.2803449096e-09,2.27866634417e-10,1,1973,0,1,0,-1.07102096081e-08,72,288006,0
4,165,15,2017-11-02 04:00:00,-0.00035697594285,-2.27373675443e-13,0,80,52.75,4.93949146393e-09,-1.09602380309,2.80328094959e-06,0.00983836047817,1.16247683764e-05,5153.64648438,360000,2.2910535335500003e-07,3.02140595755,3.72529029846e-09,0.92919805276,134.34375,0.6258426931350001,-8.2396289279e-09,1.61792453591e-10,1,1973,0,0,0,-1.07102096081e-08,80,354726,0
5,172,15,2017-11-02 06:00:00,-0.000356977339834,-2.27373675443e-13,0,81,45.09375,4.98163607657e-09,-0.0458246507235,2.50153243542e-06,0.00983745127451,1.20978802443e-05,5153.64501381,367200,9.126961231230001e-08,3.02134614761,1.17346644402e-07,0.929198575022,129.53125,0.625844020001,-8.36463413487e-09,1.36077096729e-10,1,1973,0,0,0,-1.07102096081e-08,81,360006,0
6,182,15,2017-11-02 08:00:00,-0.00035697873681800004,-2.27373675443e-13,0,82,54.71875,4.857702342800001e-09,1.00415831454,3.08081507683e-06,0.00983977655414,1.32899731398e-05,5153.65086746,374400,-1.04308128357e-07,3.0212871159400003,8.56816768646e-08,0.929199286,106.9375,0.626061138988,-8.27284459718e-09,-6.78599694973e-12,1,1973,0,0,0,-1.07102096081e-08,82,367206,0
7,195,15,2017-11-02 10:00:00,-0.000356980133802,-2.27373675443e-13,0,91,58.4375,4.87413159857e-09,2.05433260608,2.9858201742200003e-06,0.0098407396581,1.40331685543e-05,5153.65135956,381600,-1.76951289177e-07,3.02122733964,-3.1664967536900005e-08,0.929199546399,93.03125,0.6260830622779999,-8.19819863074e-09,4.21446126351e-11,1,1973,0,1,0,-1.07102096081e-08,91,374406,0
8,316,15,2017-11-03 04:00:00,-0.00035699270665599987,-2.27373675443e-13,0,39,40.84375,4.888417907940001e-09,-1.06087525202,2.18115746975e-06,0.0098477632273,1.23754143715e-05,5153.64755821,446400,2.44006514549e-07,3.0206995348900003,3.35276126862e-08,0.929198967084,120.28125,0.626710398124,-8.19641284207e-09,-4.10731394325e-11,1,1973,0,0,0,-1.07102096081e-08,39,440886,0
9,322,15,2017-11-03 06:00:00,-0.00035699363797900003,-2.27373675443e-13,0,40,31.625,4.92877673191e-09,-0.0106546357169,1.7918646335599998e-06,0.00984697847161,1.27200037241e-05,5153.64648056,453600,9.126961231230001e-08,3.02064001022,1.43423676491e-07,0.929198035205,117.71875,0.626688992706,-8.32034657583e-09,-6.643133856050001e-11,1,1973,0,0,0,-1.07102096081e-08,40,446406,0
